sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,80000,20000,62000,38000,56096,23904,5891,14109,61987,38013,79968,20032,0.04,0.16,0.16
1,80000,20000,62000,38000,56102,23898,6061,13939,62163,37837,80408,19592,0.51,2.04,2.04
2,80000,20000,62000,38000,55818,24182,6102,13898,61920,38080,79800,20200,0.25,1.0,1.0
3,80000,20000,62000,38000,55774,24226,6087,13913,61861,38139,79653,20347,0.43375,1.735,1.735
4,80000,20000,62000,38000,55835,24165,5962,14038,61797,38203,79493,20507,0.63375,2.535,2.535
5,80000,20000,62000,38000,56037,23963,5968,14032,62005,37995,80013,19987,0.01625,0.065,0.065
6,80000,20000,62000,38000,55850,24150,6093,13907,61943,38057,79858,20142,0.1775,0.71,0.71
7,80000,20000,62000,38000,56018,23982,5916,14084,61934,38066,79835,20165,0.20625,0.825,0.825
8,80000,20000,62000,38000,56002,23998,6073,13927,62075,37925,80188,19812,0.235,0.94,0.94
9,80000,20000,62000,38000,56028,23972,6083,13917,62111,37889,80278,19722,0.3475,1.39,1.39
10,80000,20000,62000,38000,55937,24063,6078,13922,62015,37985,80038,19962,0.0475,0.19,0.19
11,80000,20000,62000,38000,55835,24165,6075,13925,61910,38090,79775,20225,0.28125,1.125,1.125
12,80000,20000,62000,38000,55870,24130,5925,14075,61795,38205,79488,20512,0.64,2.56,2.56
13,80000,20000,62000,38000,56075,23925,5887,14113,61962,38038,79905,20095,0.11875,0.475,0.475
14,80000,20000,62000,38000,55896,24104,6080,13920,61976,38024,79940,20060,0.075,0.3,0.3
15,80000,20000,62000,38000,55803,24197,5962,14038,61765,38235,79413,20587,0.73375,2.935,2.935
16,80000,20000,62000,38000,55891,24109,6000,14000,61891,38109,79728,20272,0.34,1.36,1.36
17,80000,20000,62000,38000,56048,23952,5994,14006,62042,37958,80105,19895,0.13125,0.525,0.525
18,80000,20000,62000,38000,56105,23895,5945,14055,62050,37950,80125,19875,0.15625,0.625,0.625
19,80000,20000,62000,38000,55947,24053,6031,13969,61978,38022,79945,20055,0.06875,0.275,0.275
20,80000,20000,62000,38000,55982,24018,6032,13968,62014,37986,80035,19965,0.04375,0.175,0.175
21,80000,20000,62000,38000,55853,24147,6012,13988,61865,38135,79663,20337,0.42125,1.685,1.685
22,80000,20000,62000,38000,56026,23974,5953,14047,61979,38021,79948,20052,0.065,0.26,0.26
23,80000,20000,62000,38000,56140,23860,5980,14020,62120,37880,80300,19700,0.375,1.5,1.5
24,80000,20000,62000,38000,56042,23958,5935,14065,61977,38023,79943,20057,0.07125,0.285,0.285
25,80000,20000,62000,38000,56087,23913,5990,14010,62077,37923,80193,19807,0.24125,0.965,0.965
26,80000,20000,62000,38000,55971,24029,6053,13947,62024,37976,80060,19940,0.075,0.3,0.3
27,80000,20000,62000,38000,55900,24100,5895,14105,61795,38205,79488,20512,0.64,2.56,2.56
28,80000,20000,62000,38000,55893,24107,6025,13975,61918,38082,79795,20205,0.25625,1.025,1.025
29,80000,20000,62000,38000,56037,23963,5899,14101,61936,38064,79840,20160,0.2,0.8,0.8
30,80000,20000,62000,38000,56046,23954,6120,13880,62166,37834,80415,19585,0.51875,2.075,2.075
31,80000,20000,62000,38000,55747,24253,6064,13936,61811,38189,79528,20472,0.59,2.36,2.36
32,80000,20000,62000,38000,56247,23753,6026,13974,62273,37727,80683,19317,0.85375,3.415,3.415
33,80000,20000,62000,38000,55969,24031,5921,14079,61890,38110,79725,20275,0.34375,1.375,1.375
34,80000,20000,62000,38000,55999,24001,6013,13987,62012,37988,80030,19970,0.0375,0.15,0.15
35,80000,20000,62000,38000,56112,23888,5939,14061,62051,37949,80128,19872,0.16,0.64,0.64
36,80000,20000,62000,38000,56009,23991,5938,14062,61947,38053,79868,20132,0.165,0.66,0.66
37,80000,20000,62000,38000,55887,24113,6017,13983,61904,38096,79760,20240,0.3,1.2,1.2
38,80000,20000,62000,38000,56005,23995,6010,13990,62015,37985,80038,19962,0.0475,0.19,0.19
39,80000,20000,62000,38000,56146,23854,5942,14058,62088,37912,80220,19780,0.275,1.1,1.1
40,80000,20000,62000,38000,56046,23954,5965,14035,62011,37989,80028,19972,0.035,0.14,0.14
41,80000,20000,62000,38000,56174,23826,6002,13998,62176,37824,80440,19560,0.55,2.2,2.2
42,80000,20000,62000,38000,56137,23863,6029,13971,62166,37834,80415,19585,0.51875,2.075,2.075
43,80000,20000,62000,38000,56143,23857,6026,13974,62169,37831,80423,19577,0.52875,2.115,2.115
44,80000,20000,62000,38000,55903,24097,5992,14008,61895,38105,79738,20262,0.3275,1.31,1.31
45,80000,20000,62000,38000,56110,23890,5944,14056,62054,37946,80135,19865,0.16875,0.675,0.675
46,80000,20000,62000,38000,55836,24164,6084,13916,61920,38080,79800,20200,0.25,1.0,1.0
47,80000,20000,62000,38000,56056,23944,6126,13874,62182,37818,80455,19545,0.56875,2.275,2.275
48,80000,20000,62000,38000,56156,23844,6047,13953,62203,37797,80508,19492,0.635,2.54,2.54
49,80000,20000,62000,38000,55961,24039,5956,14044,61917,38083,79793,20207,0.25875,1.035,1.035
50,80000,20000,62000,38000,56272,23728,6054,13946,62326,37674,80815,19185,1.01875,4.075,4.075
51,80000,20000,62000,38000,55922,24078,6138,13862,62060,37940,80150,19850,0.1875,0.75,0.75
52,80000,20000,62000,38000,56063,23937,6205,13795,62268,37732,80670,19330,0.8375,3.35,3.35
