sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,90000,10000,66000,34000,62945,27055,2977,7023,65922,34078,89805,10195,0.21666666666666667,1.95,1.95
1,90000,10000,66000,34000,63077,26923,3035,6965,66112,33888,90280,9720,0.3111111111111111,2.8,2.8
2,90000,10000,66000,34000,62925,27075,3027,6973,65952,34048,89880,10120,0.13333333333333333,1.2,1.2
3,90000,10000,66000,34000,63001,26999,3036,6964,66037,33963,90093,9907,0.10333333333333333,0.93,0.93
4,90000,10000,66000,34000,63201,26799,3031,6969,66232,33768,90580,9420,0.6444444444444445,5.8,5.8
5,90000,10000,66000,34000,63048,26952,2980,7020,66028,33972,90070,9930,0.07777777777777778,0.7,0.7
6,90000,10000,66000,34000,62956,27044,3024,6976,65980,34020,89950,10050,0.05555555555555555,0.5,0.5
7,90000,10000,66000,34000,63006,26994,2985,7015,65991,34009,89978,10022,0.024444444444444446,0.22,0.22
8,90000,10000,66000,34000,63069,26931,3046,6954,66115,33885,90288,9712,0.32,2.88,2.88
9,90000,10000,66000,34000,62945,27055,3024,6976,65969,34031,89923,10077,0.08555555555555555,0.77,0.77
10,90000,10000,66000,34000,63084,26916,3039,6961,66123,33877,90308,9692,0.3422222222222222,3.08,3.08
11,90000,10000,66000,34000,62859,27141,3060,6940,65919,34081,89798,10202,0.22444444444444445,2.02,2.02
12,90000,10000,66000,34000,63014,26986,3084,6916,66098,33902,90245,9755,0.2722222222222222,2.45,2.45
13,90000,10000,66000,34000,63096,26904,2979,7021,66075,33925,90188,9812,0.2088888888888889,1.88,1.88
14,90000,10000,66000,34000,62945,27055,2915,7085,65860,34140,89650,10350,0.3888888888888889,3.5,3.5
15,90000,10000,66000,34000,62899,27101,3049,6951,65948,34052,89870,10130,0.14444444444444443,1.3,1.3
16,90000,10000,66000,34000,63076,26924,3008,6992,66084,33916,90210,9790,0.23333333333333334,2.1,2.1
17,90000,10000,66000,34000,62793,27207,2957,7043,65750,34250,89375,10625,0.6944444444444444,6.25,6.25
18,90000,10000,66000,34000,63118,26882,3039,6961,66157,33843,90393,9607,0.43666666666666665,3.93,3.93
19,90000,10000,66000,34000,62858,27142,2985,7015,65843,34157,89608,10392,0.43555555555555553,3.92,3.92
20,90000,10000,66000,34000,62967,27033,3000,7000,65967,34033,89918,10082,0.09111111111111111,0.82,0.82
21,90000,10000,66000,34000,62998,27002,2991,7009,65989,34011,89973,10027,0.03,0.27,0.27
22,90000,10000,66000,34000,63026,26974,3011,6989,66037,33963,90093,9907,0.10333333333333333,0.93,0.93
23,90000,10000,66000,34000,62826,27174,2961,7039,65787,34213,89468,10532,0.5911111111111111,5.32,5.32
24,90000,10000,66000,34000,62848,27152,2968,7032,65816,34184,89540,10460,0.5111111111111111,4.6,4.6
25,90000,10000,66000,34000,63327,26673,3019,6981,66346,33654,90865,9135,0.9611111111111111,8.65,8.65
26,90000,10000,66000,34000,63123,26877,2958,7042,66081,33919,90203,9797,0.22555555555555556,2.03,2.03
27,90000,10000,66000,34000,63093,26907,2982,7018,66075,33925,90188,9812,0.2088888888888889,1.88,1.88
28,90000,10000,66000,34000,63072,26928,2994,7006,66066,33934,90165,9835,0.18333333333333332,1.65,1.65
29,90000,10000,66000,34000,62916,27084,3015,6985,65931,34069,89828,10172,0.19111111111111112,1.72,1.72
30,90000,10000,66000,34000,63054,26946,2963,7037,66017,33983,90043,9957,0.04777777777777778,0.43,0.43
31,90000,10000,66000,34000,63011,26989,3052,6948,66063,33937,90158,9842,0.17555555555555555,1.58,1.58
32,90000,10000,66000,34000,63135,26865,2992,7008,66127,33873,90318,9682,0.35333333333333333,3.18,3.18
33,90000,10000,66000,34000,63186,26814,2991,7009,66177,33823,90443,9557,0.4922222222222222,4.43,4.43
34,90000,10000,66000,34000,63053,26947,2985,7015,66038,33962,90095,9905,0.10555555555555556,0.95,0.95
35,90000,10000,66000,34000,63017,26983,2938,7062,65955,34045,89888,10112,0.12444444444444444,1.12,1.12
36,90000,10000,66000,34000,62759,27241,2994,7006,65753,34247,89383,10617,0.6855555555555556,6.17,6.17
37,90000,10000,66000,34000,63150,26850,2973,7027,66123,33877,90308,9692,0.3422222222222222,3.08,3.08
38,90000,10000,66000,34000,62670,27330,2979,7021,65649,34351,89123,10877,0.9744444444444444,8.77,8.77
39,90000,10000,66000,34000,62991,27009,3016,6984,66007,33993,90018,9982,0.02,0.18,0.18
40,90000,10000,66000,34000,62826,27174,3041,6959,65867,34133,89668,10332,0.3688888888888889,3.32,3.32
41,90000,10000,66000,34000,62971,27029,2989,7011,65960,34040,89900,10100,0.1111111111111111,1.0,1.0
42,90000,10000,66000,34000,62961,27039,2921,7079,65882,34118,89705,10295,0.3277777777777778,2.95,2.95
43,90000,10000,66000,34000,62896,27104,3014,6986,65910,34090,89775,10225,0.25,2.25,2.25
44,90000,10000,66000,34000,62887,27113,3023,6977,65910,34090,89775,10225,0.25,2.25,2.25
45,90000,10000,66000,34000,62844,27156,3011,6989,65855,34145,89638,10362,0.4022222222222222,3.62,3.62
46,90000,10000,66000,34000,62975,27025,2943,7057,65918,34082,89795,10205,0.22777777777777777,2.05,2.05
47,90000,10000,66000,34000,63063,26937,2966,7034,66029,33971,90073,9927,0.0811111111111111,0.73,0.73
48,90000,10000,66000,34000,63166,26834,2992,7008,66158,33842,90395,9605,0.4388888888888889,3.95,3.95
49,90000,10000,66000,34000,62913,27087,2904,7096,65817,34183,89543,10457,0.5077777777777778,4.57,4.57
50,90000,10000,66000,34000,62957,27043,2947,7053,65904,34096,89760,10240,0.26666666666666666,2.4,2.4
51,90000,10000,66000,34000,62720,27280,2933,7067,65653,34347,89133,10867,0.9633333333333334,8.67,8.67
52,90000,10000,66000,34000,63048,26952,2954,7046,66002,33998,90005,9995,0.005555555555555556,0.05,0.05
53,90000,10000,66000,34000,62668,27332,3044,6956,65712,34288,89280,10720,0.8,7.2,7.2
54,90000,10000,66000,34000,63077,26923,3042,6958,66119,33881,90298,9702,0.33111111111111113,2.98,2.98
55,90000,10000,66000,34000,63099,26901,2924,7076,66023,33977,90058,9942,0.06444444444444444,0.58,0.58
56,90000,10000,66000,34000,62933,27067,3016,6984,65949,34051,89873,10127,0.1411111111111111,1.27,1.27
57,90000,10000,66000,34000,63046,26954,2993,7007,66039,33961,90098,9902,0.10888888888888888,0.98,0.98
58,90000,10000,66000,34000,62808,27192,3047,6953,65855,34145,89638,10362,0.4022222222222222,3.62,3.62
59,90000,10000,66000,34000,62815,27185,2945,7055,65760,34240,89400,10600,0.6666666666666666,6.0,6.0
60,90000,10000,66000,34000,62989,27011,3020,6980,66009,33991,90023,9977,0.025555555555555557,0.23,0.23
61,90000,10000,66000,34000,63172,26828,3066,6934,66238,33762,90595,9405,0.6611111111111111,5.95,5.95
62,90000,10000,66000,34000,62925,27075,3077,6923,66002,33998,90005,9995,0.005555555555555556,0.05,0.05
63,90000,10000,66000,34000,62952,27048,2987,7013,65939,34061,89848,10152,0.1688888888888889,1.52,1.52
64,90000,10000,66000,34000,62672,27328,2984,7016,65656,34344,89140,10860,0.9555555555555556,8.6,8.6
65,90000,10000,66000,34000,62913,27087,2952,7048,65865,34135,89663,10337,0.37444444444444447,3.37,3.37
66,90000,10000,66000,34000,62946,27054,3064,6936,66010,33990,90025,9975,0.027777777777777776,0.25,0.25
67,90000,10000,66000,34000,63031,26969,3022,6978,66053,33947,90133,9867,0.14777777777777779,1.33,1.33
68,90000,10000,66000,34000,62787,27213,2980,7020,65767,34233,89418,10582,0.6466666666666666,5.82,5.82
69,90000,10000,66000,34000,63096,26904,3040,6960,66136,33864,90340,9660,0.37777777777777777,3.4,3.4
70,90000,10000,66000,34000,62844,27156,2985,7015,65829,34171,89573,10427,0.47444444444444445,4.27,4.27
71,90000,10000,66000,34000,63092,26908,3022,6978,66114,33886,90285,9715,0.31666666666666665,2.85,2.85
72,90000,10000,66000,34000,62929,27071,2992,7008,65921,34079,89803,10197,0.21888888888888888,1.97,1.97
73,90000,10000,66000,34000,62750,27250,2959,7041,65709,34291,89273,10727,0.8077777777777778,7.27,7.27
74,90000,10000,66000,34000,63138,26862,3081,6919,66219,33781,90548,9452,0.6088888888888889,5.48,5.48
75,90000,10000,66000,34000,62934,27066,3043,6957,65977,34023,89943,10057,0.06333333333333334,0.57,0.57
76,90000,10000,66000,34000,62923,27077,3053,6947,65976,34024,89940,10060,0.06666666666666667,0.6,0.6
77,90000,10000,66000,34000,62905,27095,2983,7017,65888,34112,89720,10280,0.3111111111111111,2.8,2.8
78,90000,10000,66000,34000,62921,27079,2992,7008,65913,34087,89783,10217,0.2411111111111111,2.17,2.17
79,90000,10000,66000,34000,63074,26926,3007,6993,66081,33919,90203,9797,0.22555555555555556,2.03,2.03
80,90000,10000,66000,34000,63070,26930,3016,6984,66086,33914,90215,9785,0.2388888888888889,2.15,2.15
81,90000,10000,66000,34000,63035,26965,3027,6973,66062,33938,90155,9845,0.17222222222222222,1.55,1.55
82,90000,10000,66000,34000,62935,27065,2969,7031,65904,34096,89760,10240,0.26666666666666666,2.4,2.4
83,90000,10000,66000,34000,62954,27046,2982,7018,65936,34064,89840,10160,0.17777777777777778,1.6,1.6
84,90000,10000,66000,34000,63095,26905,3035,6965,66130,33870,90325,9675,0.3611111111111111,3.25,3.25
85,90000,10000,66000,34000,63157,26843,3056,6944,66213,33787,90533,9467,0.5922222222222222,5.33,5.33
86,90000,10000,66000,34000,62889,27111,2989,7011,65878,34122,89695,10305,0.3388888888888889,3.05,3.05
87,90000,10000,66000,34000,62897,27103,3039,6961,65936,34064,89840,10160,0.17777777777777778,1.6,1.6
88,90000,10000,66000,34000,63228,26772,3090,6910,66318,33682,90795,9205,0.8833333333333333,7.95,7.95
89,90000,10000,66000,34000,63071,26929,3050,6950,66121,33879,90303,9697,0.33666666666666667,3.03,3.03
90,90000,10000,66000,34000,62854,27146,3016,6984,65870,34130,89675,10325,0.3611111111111111,3.25,3.25
91,90000,10000,66000,34000,62999,27001,2889,7111,65888,34112,89720,10280,0.3111111111111111,2.8,2.8
92,90000,10000,66000,34000,62825,27175,2979,7021,65804,34196,89510,10490,0.5444444444444444,4.9,4.9
93,90000,10000,66000,34000,63152,26848,2958,7042,66110,33890,90275,9725,0.3055555555555556,2.75,2.75
94,90000,10000,66000,34000,63008,26992,3048,6952,66056,33944,90140,9860,0.15555555555555556,1.4,1.4
95,90000,10000,66000,34000,62942,27058,2937,7063,65879,34121,89698,10302,0.33555555555555555,3.02,3.02
96,90000,10000,66000,34000,63204,26796,3040,6960,66244,33756,90610,9390,0.6777777777777778,6.1,6.1
97,90000,10000,66000,34000,62830,27170,3021,6979,65851,34149,89628,10372,0.41333333333333333,3.72,3.72
98,90000,10000,66000,34000,63013,26987,3014,6986,66027,33973,90068,9932,0.07555555555555556,0.68,0.68
99,90000,10000,66000,34000,63134,26866,3091,6909,66225,33775,90563,9437,0.6255555555555555,5.63,5.63
