sim_index,c1_actual,c2_actual,c3_actual,i1_expected,i2_expected,i3_expected,c1_to_i1,c1_to_i2,c1_to_i3,c2_to_i1,c2_to_i2,c2_to_i3,c3_to_i1,c3_to_i2,c3_to_i3,i1_counted,i2_counted,i3_counted,c1_computed,c2_computed,c3_computed,c1_percent_error,c2_percent_error,c3_percent_error,max_percent_error
26,333333,333333,333334,333333,333333,333334,166952,83475,82906,83400,166356,83577,83091,83395,166848,333443,333226,333331,333772,332904,333324,0.1317001317001317,0.1287001287001287,0.002999994000012,0.1317001317001317
27,333333,333333,333334,333333,333333,333334,166620,83007,83706,83337,166778,83218,82905,83326,167103,332862,333111,334027,331448,332444,336108,0.5655005655005655,0.2667002667002667,0.8321983356033288,0.8321983356033288
28,333333,333333,333334,333333,333333,333334,166972,83403,82958,83206,167020,83107,83571,83132,166631,333749,333555,332696,334996,334220,330784,0.4989004989004989,0.2661002661002661,0.76499847000306,0.76499847000306
29,333333,333333,333334,333333,333333,333334,166503,83771,83059,83038,166987,83308,83082,82789,167463,332623,333547,333830,330492,334188,335320,0.8523008523008523,0.2565002565002565,0.5957988084023832,0.8523008523008523
30,333333,333333,333334,333333,333333,333334,166652,83363,83318,83555,166754,83024,83219,82911,167204,333426,333028,333546,333704,332112,334184,0.1113001113001113,0.3663003663003663,0.25499949000102,0.3663003663003663
31,333333,333333,333334,333333,333333,333334,166761,83458,83114,83398,166880,83055,83868,83150,166316,334027,333488,332485,336108,333952,329940,0.8325008325008325,0.1857001857001857,1.0181979636040728,1.0181979636040728
32,333333,333333,333334,333333,333333,333334,166262,83350,83721,83493,166061,83779,83452,83171,166711,333207,332582,334211,332828,330328,336844,0.1515001515001515,0.9015009015009015,1.052997894004212,1.052997894004212
33,333333,333333,333334,333333,333333,333334,166830,83129,83374,83698,166507,83128,83268,82949,167117,333796,332585,333619,335184,330340,334476,0.5553005553005553,0.8979008979008979,0.3425993148013704,0.8979008979008979
34,333333,333333,333334,333333,333333,333334,166506,83555,83272,83667,166444,83222,83147,83500,166687,333320,333499,333181,333280,333996,332724,0.0159000159000159,0.1989001989001989,0.182999634000732,0.1989001989001989
35,333333,333333,333334,333333,333333,333334,166726,83132,83475,83448,167112,82773,83448,83474,166412,333622,333718,332660,334488,334872,330640,0.3465003465003465,0.4617004617004617,0.8081983836032328,0.8081983836032328
36,333333,333333,333334,333333,333333,333334,166272,83687,83374,83320,166585,83428,83527,83264,166543,333119,333536,333345,332476,334144,333380,0.2571002571002571,0.2433002433002433,0.0137999724000552,0.2571002571002571
37,333333,333333,333334,333333,333333,333334,166677,83393,83263,82910,167152,83271,83107,83647,166580,332694,334192,333114,330776,336768,332456,0.7671007671007671,1.0305010305010305,0.2633994732010536,1.0305010305010305
38,333333,333333,333334,333333,333333,333334,166834,83125,83374,83526,166733,83074,83152,83507,166675,333512,333365,333123,334048,333460,332492,0.2145002145002145,0.0381000381000381,0.2525994948010104,0.2525994948010104
39,333333,333333,333334,333333,333333,333334,167050,83655,82628,83476,166608,83249,83363,83332,166639,333889,333595,332516,335556,334380,330064,0.6669006669006668,0.3141003141003141,0.980998038003924,0.980998038003924
40,333333,333333,333334,333333,333333,333334,166675,83488,83170,83487,166474,83372,83252,83338,166744,333414,333300,333286,333656,333200,333144,0.0969000969000969,0.0399000399000399,0.056999886000228,0.0969000969000969
41,333333,333333,333334,333333,333333,333334,167071,82908,83354,83082,166947,83304,83136,83395,166803,333289,333250,333461,333156,333000,333844,0.0531000531000531,0.0999000999000999,0.152999694000612,0.152999694000612
