sim_index,c1_actual,c2_actual,c3_actual,c4_actual,c5_actual,c6_actual,i1_expected,i2_expected,i3_expected,i4_expected,i5_expected,i6_expected,c1_to_i1,c1_to_i2,c1_to_i3,c1_to_i4,c1_to_i5,c1_to_i6,c2_to_i1,c2_to_i2,c2_to_i3,c2_to_i4,c2_to_i5,c2_to_i6,c3_to_i1,c3_to_i2,c3_to_i3,c3_to_i4,c3_to_i5,c3_to_i6,c4_to_i1,c4_to_i2,c4_to_i3,c4_to_i4,c4_to_i5,c4_to_i6,c5_to_i1,c5_to_i2,c5_to_i3,c5_to_i4,c5_to_i5,c5_to_i6,c6_to_i1,c6_to_i2,c6_to_i3,c6_to_i4,c6_to_i5,c6_to_i6,i1_counted,i2_counted,i3_counted,i4_counted,i5_counted,i6_counted,c1_computed,c2_computed,c3_computed,c4_computed,c5_computed,c6_computed,c1_percent_error,c2_percent_error,c3_percent_error,c4_percent_error,c5_percent_error,c6_percent_error,max_percent_error
31,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47544,23979,23967,24009,23420,23747,23871,47858,23627,23796,23665,23849,23556,23913,47702,23983,23844,23668,23915,23694,24030,47647,23547,23833,23711,23818,23556,23895,47815,23871,23646,23849,23994,23870,23739,47572,166243,167111,166876,167200,166030,166540,163708,169770,168128,170391,162221,165782,1.7748070992283969,1.8624074496297984,0.8772035088140353,2.23500894003576,2.667010668042672,0.5327893442131157,2.667010668042672
32,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47833,23783,23652,23748,23810,23840,23590,47912,23759,23689,23713,24003,24005,23876,47472,23652,23974,23687,23814,23719,23739,47875,23698,23821,23827,23738,23929,23681,47563,23928,23950,23868,23735,23760,23808,47549,167019,166896,166286,166405,166566,166828,169127,168268,164008,164839,165964,167793,1.4766059064236257,0.9612038448153792,1.594806379225517,1.0962043848175393,0.42120168480673925,0.6737865242695146,1.594806379225517
33,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47339,23769,23816,24055,23917,23770,23650,47561,23861,23726,23880,23988,23973,23916,47979,23730,23513,23555,23859,23934,23669,47951,23630,23623,24015,23714,23799,23626,47593,23919,23733,23931,23831,23694,23682,47799,166569,166825,166955,166782,166215,166654,165985,167772,168680,167472,163513,166578,0.40860163440653763,0.6636026544106176,1.2084048336193345,0.48360193440773763,1.891807567230269,0.05519889602207956,1.891807567230269
34,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47504,23873,23769,24002,23776,23742,23947,47741,23617,23773,23925,23663,23680,23800,47971,23366,23778,24071,24036,23625,23838,48111,23415,23641,23811,23654,23748,23926,47642,23885,23729,23839,23852,24174,23641,47435,166707,166532,166795,167352,166177,166437,166948,165726,167563,171453,163247,165063,0.1692006768027072,0.564002256009024,0.5382021528086113,2.8722114888459553,2.0514082056328227,0.9641807163856723,2.8722114888459553
35,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47757,23989,23766,23782,23569,23803,23707,47727,23762,23842,23989,23639,23778,23663,47550,23872,23846,23957,23587,23919,23644,47410,24078,24028,23742,23804,23896,23859,47581,23784,23883,23899,23723,23505,23985,47675,166454,167001,166341,166270,167048,166886,165182,169001,164392,163897,169330,168198,0.8904035616142465,1.4010056040224161,1.3644054576218305,1.6614066456265826,1.5984063936255746,0.9167816643667127,1.6614066456265826
36,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47857,23902,23914,23677,23501,23815,23793,47865,23754,23750,23795,23709,23594,23560,47877,23920,24020,23695,23907,23441,23856,47812,23706,23944,23960,23824,23569,23763,47700,23850,23764,23935,23885,23712,23727,47647,166875,166527,166855,166634,166449,166660,168122,165691,167982,166439,165147,166620,0.8736034944139777,0.58500234000936,0.7896031584126336,0.13620054480217922,0.9114036456145824,0.02999940001199976,0.9114036456145824
37,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47840,23871,23577,23868,23604,23906,23862,47308,23553,23988,23973,23982,23851,23972,47321,23800,23707,24015,23964,23800,23798,47957,23516,23631,23712,23845,23961,23672,47573,23903,23903,23884,23700,23784,23666,47733,167132,166680,165910,167069,166039,167170,169916,166760,161383,169476,162284,170182,1.9500078000312002,0.0564002256009024,3.169812679250717,1.6860067440269761,2.6292105168420674,2.1071578568428633,3.169812679250717
38,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47625,23898,23773,23781,23708,23881,23882,47471,24014,23763,23595,23941,23845,23817,47609,23818,23672,23905,23699,23966,23838,47849,23535,23779,23738,23613,23958,23850,47764,23743,23797,23701,24000,23895,23851,47426,166586,166466,167192,166956,166125,166675,166103,165265,170335,168687,162884,166725,0.33780135120540483,0.8406033624134497,2.2014088056352223,1.2126048504194016,2.269209076836307,0.032999340013199735,2.269209076836307
39,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,48076,23809,23676,23556,23819,23730,24074,47517,23801,23716,23735,23823,23923,23777,47918,23634,23579,23835,24158,23735,23778,47460,23615,23920,23770,23868,23669,23855,47874,23630,23703,23606,24015,23557,23944,47845,167704,166312,166857,165778,166566,166783,173911,164190,167996,160461,165964,167479,4.347017388069553,1.4856059424237698,0.798003192012768,3.723014892059568,0.42120168480673925,0.48539029219415614,4.347017388069553
40,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47530,23956,23732,23763,23762,23923,23827,47557,23913,23875,23714,23780,23682,23907,47857,23764,23731,23725,23874,23830,23941,47568,23667,23786,23738,23692,23869,24021,47661,23685,23890,23858,23869,23847,23796,47410,166541,166800,167181,166838,166331,166309,165789,167598,170258,167863,164323,164169,0.5262021048084192,0.5592022368089472,2.1552086208344834,0.7182028728114912,1.405805623222493,1.500569988600228,2.1552086208344834
41,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47788,23811,23514,23628,24072,23853,23711,47567,23965,23829,23795,23799,23570,23882,47898,24016,23467,23833,23650,23574,23819,47939,23834,23850,24009,23791,23736,24002,47416,23712,23864,23746,23927,24022,23747,47364,166592,166371,166859,167436,166331,166411,166145,164602,168010,172039,164323,164881,0.31260125040500164,1.2384049536198145,0.8064032256129025,3.223812895251581,1.405805623222493,1.0733785324293514,3.223812895251581
42,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47511,23776,24144,23810,23764,23661,23770,47546,23840,23647,23815,24048,23817,23608,47591,23683,23985,23982,23656,24025,23776,47609,23939,23661,23962,23880,23582,23553,47764,23925,23610,24003,23868,23602,23980,47607,166326,166838,166801,165904,167247,166884,164288,167863,167605,161341,170719,168184,1.4268057072228288,0.7182028728114912,0.5634022536090144,3.1950127800511203,2.431809727238909,0.9083818323633527,3.1950127800511203
43,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47634,23977,23835,23746,23838,23636,23868,47516,23760,23641,23988,23893,23775,23740,48001,23687,23742,23721,23913,23714,23801,47614,23727,23897,23659,23897,24057,23740,47547,23766,23850,23949,23706,23853,23807,47505,166699,166793,167160,166281,166649,166418,166892,167549,170112,163973,166543,164930,0.13560054240216962,0.5298021192084769,2.0676082704330816,1.6158064632258529,0.07380029520118081,1.0439791204175917,2.0676082704330816
44,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47351,23669,23878,24005,23948,23815,23871,47601,23747,23578,23977,23892,23861,23794,47565,23662,24019,23765,23731,23706,23808,47757,23795,23869,23934,24011,23699,23636,47580,23806,23725,23899,23658,23600,23989,47799,166473,166680,166355,166238,167308,166946,165314,166760,164490,163673,171145,168617,0.8112032448129792,0.0564002256009024,1.3056052224208896,1.795807183228733,2.6874107496429986,1.1681766364672705,2.6874107496429986
45,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47713,23877,23555,23995,23863,23663,23867,47618,23658,23695,23956,23872,23705,23811,47769,24040,23914,23427,23771,23789,23888,47628,23788,23802,23810,23780,23932,23840,47555,23749,23658,23759,23729,23902,23819,47803,166524,166634,166531,167100,166895,166316,165670,166439,165719,169693,168261,164218,0.5976023904095616,0.13620054480217922,0.5682022728090912,1.8162072648290593,0.957003828015312,1.4711705765884682,1.8162072648290593
46,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47541,24037,23914,23713,23771,23690,23838,47834,23739,23589,23726,23940,23777,23665,47645,23882,23931,23766,23781,23697,23898,47758,23699,23833,23764,23621,23645,23778,47916,23942,23858,23714,23729,23904,23849,47616,166559,166568,166570,166624,166892,166787,165915,165978,165992,166369,168240,167507,0.45060180240720965,0.41280165120660484,0.4044016176064704,0.1782007128028512,0.9444037776151104,0.502189956200876,0.9444037776151104
47,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47686,23767,23752,23741,23916,23804,23771,47794,23684,23816,23784,23817,23720,23728,47528,24081,23916,23693,23504,23979,23705,47612,23943,23923,23412,23703,23815,23758,47739,24239,23837,24021,23798,23512,23844,47658,165930,166992,166282,166520,167142,167134,161522,168939,163980,165642,169986,169930,3.0864123456493826,1.3638054552218208,1.6116064464257858,0.6144024576098305,1.992007968031872,1.9559608807823843,3.0864123456493826
48,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47442,24038,23713,23970,23934,23569,24026,47525,23725,23736,24053,23601,23616,23867,47929,23797,23648,23809,23947,23957,23715,47416,23723,23908,23984,23893,23980,23690,47455,23664,23682,24099,23833,23856,23713,47487,166697,167379,166895,166465,166526,166038,166878,171641,168261,165258,165684,162277,0.1272005088020352,2.98501194004776,0.957003828015312,0.8448033792135169,0.5892023568094272,2.635747285054299,2.98501194004776
49,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47892,23699,23761,23792,23704,23818,23672,47678,23824,23976,23959,23557,23825,23885,47571,23844,23749,23792,23898,23923,24010,47531,23919,23385,23619,23867,23707,23828,47888,23757,23768,23854,23717,23945,23685,47701,166674,166906,166590,166916,166904,166010,166718,168338,166131,168408,168324,162081,0.0312001248004992,1.0032040128160513,0.321001284005136,1.0452041808167232,0.9948039792159169,2.7533449331013378,2.7533449331013378
50,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,48141,23757,23861,23779,23551,23577,23979,47590,23814,23734,23766,23783,23911,23661,47519,23641,24123,23811,23818,23659,23798,47769,23490,24132,23558,23924,23957,23836,47501,23890,24058,23863,23525,23738,23669,47817,167465,166454,166474,166497,166100,167010,172242,165182,165321,165482,162709,169064,3.34561338245353,0.8904035616142465,0.807003228012912,0.7104028416113665,2.374209496837987,1.4363712725745486,3.34561338245353
51,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47634,23936,23576,23504,23942,24074,23822,47517,23765,23714,23952,23896,23671,23779,47778,23968,23572,23898,23666,23866,24064,47480,23973,23617,23917,23661,23863,23948,47556,23721,23872,23604,23761,23897,23735,47801,166582,166363,166807,166511,166730,167007,166075,164546,167647,165580,167109,169043,0.3546014184056736,1.2720050880203522,0.5886023544094177,0.6516026064104257,0.26580106320425284,1.4237715245695086,1.4237715245695086
52,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47562,23715,23872,23962,23835,23720,23841,47440,24005,23787,23939,23654,23797,23639,47511,23989,23848,23882,23871,23827,23617,47680,23868,23803,23576,23599,23933,23789,48096,23673,23772,23635,23830,24046,23838,47549,166419,165855,166768,167253,167424,166281,164937,160999,167374,170761,171955,163973,1.0374041496165984,3.4002136008544035,0.42480169920679683,2.457009828039312,3.1734126936507745,1.618167636647267,3.4002136008544035
53,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47712,23708,23954,23841,23552,23899,23578,47583,23751,24043,23934,23777,23805,24033,47989,23564,23598,23677,24122,23739,23772,47466,23780,23787,23863,23723,23726,23708,47700,23946,24022,23636,23783,23589,23847,47793,167102,166422,166975,166211,166411,166879,169707,164958,168820,163485,164881,168149,1.8246072984291937,1.024804099216397,1.2924051696206784,1.9086076344305378,1.071004284017136,0.8873822523549529,1.9086076344305378
54,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47620,23905,23874,23846,23642,23779,23944,47440,23970,23584,23956,23772,23816,23675,47989,23686,23562,23938,23901,23733,24008,47843,23572,23609,23710,23855,23806,23858,47565,23872,23724,23966,24032,23604,23804,47540,166715,166574,167679,166421,166101,166510,167004,166020,173736,164951,162716,165573,0.2028008112032448,0.38760155040620164,4.2420169680678725,1.029004116016464,2.37000948003792,0.6581868362632748,4.2420169680678725
55,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47525,23717,24023,23898,23528,23975,23635,48158,23477,23935,23617,23844,23731,23851,47318,24118,23949,23699,23687,23504,23973,47802,23735,23965,23905,23904,23786,23683,47847,23541,23716,23624,23879,23828,23668,47955,166199,166758,166456,167264,166344,166979,163401,167304,165196,170838,164413,168848,1.959007836031344,0.3828015312061248,0.8820035280141121,2.5032100128400514,1.3518054072216288,1.3067738645227096,2.5032100128400514
56,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47667,23875,23857,23720,23715,23832,23675,48049,23876,23667,23655,23744,23702,23903,47528,23891,23802,23840,23542,23763,23776,47749,23899,23937,23607,23700,23802,23957,47957,23643,23874,23800,23922,23915,23760,47399,166067,167090,166761,166899,166788,166395,162479,169623,167325,168289,167514,164770,2.5122100488401955,1.7742070968283874,0.39540158160632644,0.9738038952155809,0.5088020352081408,1.139977200455991,2.5122100488401955
57,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47636,23704,23910,23954,23696,23766,23876,47736,23843,23884,23607,23720,23670,23782,47343,23877,23898,24096,23579,23719,23422,48089,23810,24047,23830,23481,23971,23772,47922,23690,23590,23921,24070,23710,23897,47482,166181,166343,166559,167286,166830,166801,163275,164406,165915,170992,167807,167605,2.034608138432554,1.356005424021696,0.45060180240720965,2.5956103824415298,0.6846027384109536,0.5609887802243955,2.5956103824415298
58,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47620,23983,23421,23924,23911,23807,23863,47483,23929,23872,23606,23913,23701,23983,47495,23681,23839,23967,23709,23977,23994,47480,23610,23896,23665,24025,24031,23836,47458,23651,24069,23594,23734,23731,23799,47743,166627,167045,166604,166524,166223,166977,166390,169309,166229,165670,163568,168834,0.16560066240264962,1.5858063432253728,0.2622010488041952,0.5976023904095616,1.858807435229741,1.2983740325193496,1.858807435229741
59,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47444,23899,23890,23926,23838,23669,23642,47822,23613,23825,23869,23895,23469,23719,47941,23631,23939,23967,23800,23893,23860,47644,23717,23752,23912,23981,23720,23541,47722,23790,23947,23905,23784,23807,23835,47392,166214,167219,166808,166374,166920,166465,163506,170524,167654,164623,168436,165258,1.896007584030336,2.314809259237037,0.5928023712094849,1.2258049032196128,1.062004248016992,0.8471830563388733,2.314809259237037
60,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47460,23867,23809,24088,23799,23643,23676,47556,23796,23770,23908,23960,23742,23568,47921,23940,23703,23792,23943,23897,23704,47571,23852,23699,23752,23511,23929,23886,47775,23813,23826,24154,23877,23522,23790,47501,166399,166553,167036,166777,166827,166408,164797,165873,169246,167437,167786,164860,1.1214044856179424,0.47580190320761284,1.548006192024768,0.46260185040740165,0.672002688010752,1.0859782804343914,1.548006192024768
61,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47536,23807,23854,23970,23828,23671,23842,47429,24072,23670,23854,23799,23715,23865,47807,23802,23609,23868,23451,23828,23863,47824,23851,23849,23805,24101,23508,23981,47604,23667,23877,24006,23649,23966,23599,47573,166226,167036,166753,167213,166345,166427,163589,169246,167270,170482,164420,164993,1.8462073848295393,1.548006192024768,0.3624014496057984,2.2896091584366336,1.3476053904215617,1.0061798764024719,2.2896091584366336
62,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47492,23909,23437,23970,23636,24222,23617,47855,23661,23891,23675,23967,23634,23785,47631,23649,23985,23982,23520,23894,23860,47715,23803,23874,23920,23959,23547,23917,47440,23883,23814,23483,23953,23742,24022,47656,165997,166885,166089,166884,166561,167584,161990,168191,162633,168184,165929,173073,2.80561122244489,0.9150036600146401,2.419809679238717,0.9108036432145729,0.44220176880707524,3.8417231655366892,3.8417231655366892
63,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47596,23775,23596,23861,23842,23996,23919,47828,23507,23739,23774,23899,23477,23973,47579,23833,24031,23773,23709,23942,24099,47563,23709,23644,24040,23559,23766,23733,47677,23891,23748,24022,23786,23733,23529,47852,166489,167099,166333,166462,166562,167055,165426,169686,164337,165237,165936,169378,0.744002976011904,1.8120072480289922,1.3974055896223585,0.8574034296137184,0.438001752007008,1.624767504649907,1.8120072480289922
64,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47560,23737,23801,23870,23937,23761,23765,47653,23826,23820,23671,23931,23804,23775,47724,23902,23719,23742,23609,23827,23812,47719,23996,23703,23818,23806,23411,23917,47530,24184,23961,23730,23886,23716,23639,47738,166517,166528,166460,166944,166492,167059,165622,165698,165223,168603,165447,169406,0.6264025056100224,0.5808023232092928,0.8658034632138528,1.1622046488185953,0.7314029256117024,1.6415671686566269,1.6415671686566269
65,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47813,23494,23992,23914,23650,23803,24019,47508,23922,23768,23655,23794,23926,23791,47426,23715,23860,23948,23912,23486,23818,48010,23803,23637,23988,23696,23847,23683,47391,24061,23925,23757,23604,23702,23514,48168,167583,165732,166609,166792,165873,167411,173066,160140,166264,167542,161124,171865,3.8400153600614404,3.91561566246265,0.24120096480385922,0.5256021024084097,3.3252133008532034,3.116937661246775,3.91561566246265
66,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47425,23910,23980,23804,23672,23875,23782,47816,23908,23720,23921,23519,23703,23804,47398,23995,23660,24106,23787,24196,23954,47514,23656,23559,23907,23558,24285,23652,47561,23703,23920,23722,23787,23800,23797,47644,166524,167006,167312,166485,166267,166406,165670,169036,171173,165398,163876,164846,0.5976023904095616,1.422005688022752,2.7042108168432675,0.7608030432121728,1.674006696026784,1.0943781124377512,2.7042108168432675
67,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47860,23847,23817,23772,23831,23539,23688,47619,23806,23679,23827,24047,23871,23824,47658,23995,23561,23757,23713,23667,23875,47895,23595,23921,23799,23853,24143,23902,47363,23606,23838,23736,23619,23670,23736,48071,166769,166546,166918,166913,165913,166941,167381,165824,168422,168387,161404,168582,0.42900171600686404,0.5052020208080832,1.0536042144168576,1.0326041304165217,3.1572126288505156,1.1471770564588708,3.1572126288505156
68,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47543,23674,23735,23802,24030,23882,23660,47568,24019,23904,23767,23748,23827,23929,47696,23687,23914,23613,23891,23626,23856,47804,23747,23742,23803,24071,23658,23559,47672,23903,23785,23726,23701,23878,23915,47665,166509,166594,166665,166634,167045,166553,165566,166159,166655,166439,169309,165873,0.6600026400105601,0.3042012168048672,0.006600026400105601,0.13620054480217922,1.5858063432253728,0.47819043619127616,1.5858063432253728
69,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47492,23872,23852,23943,23827,23680,24074,47519,23896,23741,23661,23775,23905,23312,47525,23901,23995,24028,23885,23813,23959,47583,23759,23667,24050,23424,23721,23996,47940,23535,23907,23627,23676,23929,23831,47700,167313,165567,166629,167093,167013,166385,171180,158987,166404,169644,169085,164700,2.7084108336433346,4.607418429673719,0.1572006288025152,1.786807147228589,1.4514058056232224,1.1819763604727906,4.607418429673719
70,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47611,23496,23863,23757,24055,23884,24008,47676,23799,23854,23887,23442,23476,23795,48331,23807,23710,23547,23875,23856,23641,47822,23814,23658,23627,23775,23622,23889,47912,23841,23594,23655,23851,23546,24169,47855,166191,166253,167107,166675,167547,166227,163345,163778,169742,166725,172814,163596,1.9926079704318818,1.732806931227725,1.8456073824295298,0.035400141600566405,3.688814755259021,1.8443631127377453,3.688814755259021
71,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47743,23868,23747,23513,23807,23988,23851,48168,23620,23468,23855,23704,23935,23860,47729,23595,23789,23758,23691,23619,23664,47938,23766,23988,23721,23795,23846,23859,47652,23793,23749,23910,23539,23605,23694,48173,166690,167220,166145,165978,166563,167404,166830,170531,163024,161858,165943,171816,0.0984003936015744,2.319009276037104,2.1852087408349634,2.884811539246157,0.4338017352069408,3.087538249235015,3.087538249235015
72,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47627,23793,23667,24007,23719,23853,23743,47723,23685,23939,23705,23871,23835,23736,47337,23812,23999,23947,23749,23833,23807,47428,23850,23999,23730,23979,23920,23508,47850,23679,23826,23795,23896,23924,23617,47612,166510,166859,166312,166618,166740,166961,165573,168010,164190,166327,167179,168722,0.6558026232104929,0.8064032256129025,1.4856059424237698,0.2034008136032544,0.3078012312049248,1.2311753764924702,1.4856059424237698
73,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47487,23776,23740,24029,23567,24067,23964,47401,23672,23820,23909,23900,23740,23515,47963,23714,23782,23952,23699,23760,23843,47697,23785,23882,23893,23743,23829,23900,47777,23524,23689,23766,23901,23640,24097,47577,166472,165961,166948,166800,166917,166902,165307,161739,168631,167598,168415,168310,0.8154032616130464,2.9562118248472995,1.1790047160188641,0.5592022368089472,1.0494041976167905,0.9839803203935922,2.9562118248472995
74,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47642,24028,23959,23575,23722,23740,23596,47787,23772,23721,24083,23707,23835,23412,48097,23900,23700,23722,23912,23689,23907,47688,23527,23943,23924,23863,23922,23728,47259,23970,23511,23902,23897,24024,23379,47957,166420,166681,167554,166636,165670,167039,164944,166767,172863,166453,159707,169267,1.0332041328165313,0.0606002424009696,3.7182148728594915,0.1278005112020448,4.175416701666807,1.5581688366232676,4.175416701666807
75,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47525,23800,23841,23779,23805,23916,23898,47686,23747,23888,23568,23879,23795,23888,47571,23831,23922,23659,23801,23817,24134,47487,23593,23834,23767,23846,23876,23909,47560,23708,23858,24071,23653,23598,23693,47797,166644,167108,166822,166492,166141,166793,166508,169749,167751,165447,162996,167549,0.09480037920151681,1.849807399229597,0.6510026040104161,0.7314029256117024,2.2020088080352322,0.5273894522109558,2.2020088080352322
76,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47701,23605,23903,23724,23722,24011,23664,47625,23940,23386,24028,24023,23671,23655,48101,24006,23436,23797,23833,24052,23906,47506,23594,23775,23620,23985,23660,23693,48073,23635,23711,24115,23495,23806,23906,47637,166200,167037,167005,166121,166759,166878,163408,169253,169029,162856,167311,168142,1.954807819231277,1.5522062088248354,1.417805671222685,2.286009144036576,0.387001548006192,0.8831823363532729,2.286009144036576
77,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47869,23761,23770,23745,23736,23785,23835,47769,24053,23639,23530,23840,24033,23575,47698,23882,23661,23817,23652,23872,23704,47552,23925,23961,23869,23587,23878,23655,47851,23826,23720,23735,24048,23790,23845,47532,166978,166299,167151,166263,166548,166761,168841,164099,170049,163848,165838,167325,1.3050052200208802,1.5402061608246433,2.029808119232477,1.690806763227053,0.4968019872079488,0.39299214015719686,2.029808119232477
78,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47794,23728,23605,23941,23835,23763,23968,47842,23610,23736,23851,23659,23841,23626,47537,23802,24077,23783,24203,23915,23780,47358,23801,23609,23564,23907,23712,23974,47690,23819,23735,23851,23853,23603,23568,48060,167105,166869,166097,166414,166822,166693,169728,168080,162689,164902,167751,166851,1.8372073488293954,0.8484033936135744,2.3862095448381795,1.0584042336169344,0.6510026040104161,0.10859782804343913,2.3862095448381795
79,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47872,23730,23784,23811,23682,23787,23597,48443,23635,23622,23681,23688,23994,24101,47424,23638,23929,23580,23744,23776,23756,47546,23631,24213,23724,23574,23800,23703,48067,23798,23764,23839,23665,23742,24170,47490,166695,167463,166064,166062,167160,166556,166865,172228,162458,162444,170112,165894,0.1194004776019104,3.3372133488533953,2.524810099240397,2.5332101328405314,2.0676082704330816,0.4655906881862363,3.3372133488533953
80,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47488,23919,23911,23745,23970,23633,23608,47886,23986,23860,23569,23757,23811,23895,47577,23814,23552,24017,23792,23765,23648,47729,24103,23629,23747,23827,23798,23785,47847,23662,23891,23803,23800,23802,23767,47607,166337,167095,166720,166735,166808,166305,164365,169658,167039,167144,167654,164141,1.3806055224220897,1.7952071808287233,0.22380089520358082,0.2868011472045888,0.5928023712094849,1.5173696526069478,1.7952071808287233
81,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47538,23644,23711,23710,23983,24080,23903,47734,23751,23741,23682,23855,23784,23641,47998,23870,23741,23632,23746,23911,23627,47589,23805,23988,23570,23815,23838,24029,47702,23712,23987,23864,23817,23620,23993,47389,166528,166609,166742,166559,166906,166656,165698,166264,167193,165915,168338,166592,0.5808023232092928,0.24120096480385922,0.3162012648050592,0.45060180240720965,1.0032040128160513,0.046799064018719624,1.0032040128160513
82,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47693,23755,23620,23959,23881,23758,23848,47740,23775,23867,23840,23596,23981,23747,47728,23684,23859,23667,23718,23723,23971,47604,23653,23997,23839,23740,23971,23913,47188,24015,23716,23934,23774,23747,23647,47852,166795,166639,166839,166774,166068,166885,167563,166473,167870,167416,162486,168191,0.5382021528086113,0.1158004632018528,0.7224028896115584,0.4500018000072,2.508010032040128,0.9125817483650327,2.508010032040128
83,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47670,23686,23983,23883,23819,23625,23857,47532,24058,23838,23713,23668,23553,23828,48012,23907,23720,23646,23870,23618,23803,47894,23865,23616,23851,23632,23766,23805,47782,23830,23698,23713,23976,23755,23835,47693,166499,166009,167598,167082,166734,166078,165496,162074,173170,169567,167137,162556,0.702002808011232,2.7552110208440834,3.9024156096624387,1.7406069624278497,0.2826011304045216,2.4683506329873404,3.9024156096624387
84,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47729,23805,24174,23476,23803,23679,23978,47838,23419,23619,24192,23620,23685,24119,47221,23938,23918,23785,23851,24008,23653,47459,23828,23867,23824,24081,23805,23639,47665,23652,23719,23692,23782,23723,23736,48018,166786,167543,166054,165854,167142,166621,167500,172786,162388,160992,169986,166348,0.5004020016080064,3.672014688058752,2.566810267241069,3.4044136176544706,1.992007968031872,0.19319613607727845,3.672014688058752
85,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47828,23710,23646,23906,23766,23810,23936,47661,23663,23870,23779,23757,23778,23668,47585,23854,23875,23906,23925,23769,24049,47440,23716,23767,24010,23725,23594,23737,47521,24079,23647,24018,23862,23617,23992,47534,167124,166551,166399,166424,166649,166853,169860,165859,164797,164972,166543,167968,1.9164076656306626,0.48420193680774726,1.1214044856179424,1.0164040656162625,0.07380029520118081,0.7787844243115137,1.9164076656306626
