sim_index,c1_actual,c2_actual,c3_actual,c4_actual,c5_actual,i1_expected,i2_expected,i3_expected,i4_expected,i5_expected,c1_to_i1,c1_to_i2,c1_to_i3,c1_to_i4,c1_to_i5,c2_to_i1,c2_to_i2,c2_to_i3,c2_to_i4,c2_to_i5,c3_to_i1,c3_to_i2,c3_to_i3,c3_to_i4,c3_to_i5,c4_to_i1,c4_to_i2,c4_to_i3,c4_to_i4,c4_to_i5,c5_to_i1,c5_to_i2,c5_to_i3,c5_to_i4,c5_to_i5,i1_counted,i2_counted,i3_counted,i4_counted,i5_counted,c1_computed,c2_computed,c3_computed,c4_computed,c5_computed,c1_percent_error,c2_percent_error,c3_percent_error,c4_percent_error,c5_percent_error,max_percent_error
22,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66814,33437,33300,33218,33231,33295,66911,33596,32977,33221,33220,33319,67131,33221,33109,33107,33274,33563,66817,33239,32979,33346,33642,33268,66765,199415,200287,201232,199501,199565,196481,201726,207411,196998,197383,1.7595,0.863,3.7055,1.501,1.3085,3.7055
23,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66552,33357,33431,33052,33608,33293,66924,33386,33380,33017,33359,33400,66378,33600,33263,33410,33361,33240,66416,33573,33141,33566,33283,33428,66582,199755,200608,199718,199876,200043,198526,203657,198304,199254,200259,0.737,1.8285,0.848,0.373,0.1295,1.8285
24,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66779,33497,33133,33425,33166,33435,66550,33256,33090,33669,33399,33570,66315,33465,33251,33304,33712,33699,66006,33279,33378,33328,33411,33246,66637,200295,200657,199814,199232,200002,201774,203952,198881,195380,200012,0.887,1.976,0.5595,2.31,0.006,2.31
25,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66371,33305,33549,33365,33410,33278,66595,33401,33613,33113,33300,33395,66660,33205,33440,33268,33454,33251,66479,33548,33662,33320,33547,33270,66201,199879,200069,200408,199932,199712,199272,200415,202454,199591,198268,0.364,0.2075,1.227,0.2045,0.866,1.227
26,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66642,33580,33386,32833,33559,33106,66626,33434,33228,33606,33713,33302,66337,33451,33197,33513,33399,33416,66398,33274,33328,33012,33608,33350,66702,200302,199919,200181,199260,200338,201817,199513,201089,195549,202033,0.9085,0.2435,0.5445,2.2255,1.0165,2.2255
27,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66876,33444,32965,33369,33346,33256,66710,33396,33332,33306,33389,33445,66831,33177,33158,33265,33286,33503,66944,33002,33334,33345,33335,33345,66641,200120,200230,200030,200167,199453,200722,201383,200180,201005,196710,0.361,0.6915,0.09,0.5025,1.645,1.645
28,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66358,33254,33311,33642,33435,33172,66504,33375,33632,33317,33148,33489,66687,33269,33407,33323,33590,33411,66477,33199,33451,33256,33464,33396,66433,199452,200093,200248,200416,199791,196704,200559,201492,202502,198743,1.648,0.2795,0.746,1.251,0.6285,1.648
29,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66419,33438,33480,33437,33226,33490,66286,33581,33318,33325,33226,33331,66432,33382,33629,33322,33369,33387,66401,33521,33343,33439,32967,33353,66898,199800,199863,199847,199891,200599,198797,199176,199080,199344,203603,0.6015,0.412,0.46,0.328,1.8015,1.8015
30,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66399,33430,33523,33543,33105,33285,66601,33454,33424,33236,33426,33269,66708,33357,33240,33653,33620,33089,66310,33328,33217,33460,33138,33174,67011,199980,200380,199912,199808,199920,199880,202286,199471,198845,199519,0.06,1.143,0.2645,0.5775,0.2405,1.143
31,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66803,33154,33320,33347,33376,33505,66813,33388,33269,33025,33436,33481,66557,33363,33163,33079,33497,33018,66978,33428,33341,33277,33484,33440,66458,200164,200222,199767,200397,199450,200986,201335,198598,202388,196692,0.493,0.6675,0.701,1.194,1.654,1.654
32,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66565,33257,33650,33263,33265,33356,66672,33193,33568,33211,33459,33569,66444,33140,33388,33245,33341,33638,66504,33272,33390,33247,33537,33423,66403,200015,200086,200462,199898,199539,200090,200517,202779,199386,197227,0.045,0.2585,1.3895,0.307,1.3865,1.3895
33,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66498,33371,33375,33261,33495,33187,66516,33392,33693,33212,33456,33426,66349,33364,33405,33251,33381,33423,66467,33478,33221,33123,33320,33769,66567,199613,199817,199859,200554,200157,197672,198899,199152,203332,200944,1.164,0.5505,0.424,1.666,0.472,1.666
34,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66597,33619,33279,33432,33073,33071,66642,33609,33383,33295,33233,33245,66515,33731,33276,33480,33343,33339,66492,33346,33500,33058,33504,33454,66484,199881,199907,200246,200492,199474,199284,199441,201480,202959,196836,0.358,0.2795,0.74,1.4795,1.582,1.582
35,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66694,33452,33359,33209,33286,33413,66364,33572,33390,33261,33353,33217,66532,33756,33142,33120,33327,33284,66408,33861,33410,33349,33166,33477,66598,199990,199709,199913,200240,200148,199940,198250,199477,201444,200890,0.03,0.875,0.2615,0.722,0.445,0.875
36,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66565,33245,33100,33545,33545,33335,66703,33157,33492,33313,33382,33393,66410,33478,33337,33164,33676,33494,66491,33175,33139,33433,33464,33282,66682,199585,200450,199625,200288,200052,197504,202707,197744,201732,200313,1.248,1.3535,1.128,0.866,0.1565,1.3535
37,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66803,33305,33481,33321,33090,33120,66631,33668,32978,33603,33210,33382,66739,33566,33103,33803,32915,33456,66885,32941,33336,33192,33231,33317,66924,200272,199425,200575,200067,199661,201636,196541,203459,200403,197961,0.818,1.7295,1.7295,0.2015,1.0195,1.7295
38,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66290,33390,33382,33708,33230,33385,66481,33359,33302,33473,33464,33420,66826,33011,33279,33159,33524,33324,66865,33128,33636,33238,33071,33501,66554,199934,200053,199962,200387,199664,199603,200319,199771,202328,197979,0.1985,0.1595,0.1145,1.164,1.0105,1.164
39,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66687,33564,33158,32999,33592,33398,66800,33312,33099,33391,33406,33260,66843,33069,33422,33736,33214,33363,66654,33033,33247,33259,33396,33537,66561,200474,200097,200072,199358,199999,202851,200583,200433,196138,199994,1.4255,0.2915,0.2165,1.931,0.003,1.931
40,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66451,33286,33558,33114,33591,33139,66643,33353,33410,33455,33286,33172,66551,33593,33398,33382,33405,33391,66637,33185,33213,33567,33298,33256,66666,199471,200073,200151,200010,200295,196818,200439,200908,200060,201774,1.591,0.2195,0.454,0.03,0.887,1.591
41,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66379,33414,33510,33378,33319,33532,66540,33464,33032,33432,33367,33562,66320,33131,33620,33089,33353,33264,67058,33236,33334,33216,33496,33318,66636,199701,200085,200054,199917,200243,198202,200511,200325,199501,201462,0.899,0.2555,0.1625,0.2495,0.731,0.899
42,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66480,33349,33437,33531,33203,33462,66370,33522,33472,33174,33337,33507,66319,33593,33244,33344,33456,33433,66546,33221,33255,33411,33407,33401,66526,199878,200093,200118,200543,199368,199266,200559,200710,203266,196198,0.367,0.2795,0.355,1.633,1.901,1.901
43,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66627,33467,33592,32982,33332,33368,66846,33097,33421,33268,33697,33715,66443,33070,33075,33354,33254,33283,66683,33426,33130,33376,33232,33713,66549,200176,200658,199647,199869,199650,201059,203958,197877,199212,197895,0.5295,1.979,1.0615,0.394,1.0525,1.979
44,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66480,33388,33219,33565,33348,33457,66448,33350,33363,33382,33773,33389,66397,33292,33149,33382,33696,33122,66426,33374,33453,33599,33169,33373,66406,200545,200520,199257,200019,199659,203278,203128,195531,200114,197949,1.639,1.564,2.2345,0.057,1.0255,2.2345
45,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66370,33362,33214,33543,33511,33050,66514,33234,33462,33740,33099,33500,66873,33146,33382,33499,33136,33199,66883,33283,33353,33408,33534,33152,66553,199371,199920,200054,200186,200469,196217,199519,200325,201119,202821,1.8915,0.2405,0.1625,0.5595,1.4105,1.8915
46,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66594,33240,33358,33400,33408,33415,66274,33411,33393,33507,33668,33528,66416,33295,33093,33183,33065,33585,66709,33458,33211,33710,33171,33334,66574,200071,199817,199941,200131,200040,200427,198899,199645,200788,200241,0.2135,0.5505,0.1775,0.394,0.1205,0.5505
47,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66373,33764,33274,33150,33439,33131,67011,33223,33376,33259,33281,33372,66382,33612,33353,33367,33319,33714,66165,33435,32836,33194,33633,33279,67058,198988,200660,200226,199582,200544,193913,203970,201359,197486,203272,3.0435,1.985,0.6795,1.257,1.636,3.0435
48,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66449,33359,33463,33451,33278,33487,66406,33148,33448,33511,33138,33598,66645,33330,33289,33433,33590,33411,66417,33149,33573,33387,33084,33315,66641,200080,200340,199751,199961,199868,200481,202045,198502,199765,199206,0.2405,1.0225,0.749,0.1175,0.397,1.0225
