sim_index,c1_actual,c2_actual,c3_actual,c4_actual,c5_actual,i1_expected,i2_expected,i3_expected,i4_expected,i5_expected,c1_to_i1,c1_to_i2,c1_to_i3,c1_to_i4,c1_to_i5,c2_to_i1,c2_to_i2,c2_to_i3,c2_to_i4,c2_to_i5,c3_to_i1,c3_to_i2,c3_to_i3,c3_to_i4,c3_to_i5,c4_to_i1,c4_to_i2,c4_to_i3,c4_to_i4,c4_to_i5,c5_to_i1,c5_to_i2,c5_to_i3,c5_to_i4,c5_to_i5,i1_counted,i2_counted,i3_counted,i4_counted,i5_counted,c1_computed,c2_computed,c3_computed,c4_computed,c5_computed,c1_percent_error,c2_percent_error,c3_percent_error,c4_percent_error,c5_percent_error,max_percent_error
66,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66453,33363,33865,33218,33101,33456,66283,33093,33485,33683,33229,33334,66644,33154,33639,33093,33404,33766,66466,33271,33238,33507,33210,33606,66439,199469,199891,200578,199929,200133,196806,199344,203477,199573,200800,1.597,0.328,1.7385,0.2135,0.4,1.7385
67,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66450,33573,33120,33602,33255,33171,66619,33299,33468,33443,33341,33348,66235,33597,33479,33618,33405,33161,66477,33339,33471,33319,33331,33529,66350,200051,200264,199146,200673,199866,200307,201588,194863,204048,199194,0.1535,0.794,2.5685,2.024,0.403,2.5685
68,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,67129,33285,33459,32931,33196,33355,66552,33339,33677,33077,33324,33360,66516,33522,33278,33430,33339,33389,66646,33196,33472,33383,33630,33168,66347,200710,199919,200333,199944,199094,204271,199513,202003,199663,194550,2.1355,0.2435,1.0015,0.1685,2.725,2.725
69,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66122,33599,33290,33495,33494,33368,66529,33338,33417,33348,33349,33350,66395,33621,33285,33357,33529,33244,66447,33423,33300,33066,33438,33251,66945,199496,200073,199705,200231,200495,196968,200439,198226,201389,202977,1.516,0.2195,0.887,0.6945,1.4885,1.516
70,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66277,33198,33430,33459,33636,33254,66543,33264,33277,33662,33216,33199,66861,33527,33197,33525,33444,33061,66560,33410,33392,33195,33273,33677,66463,199664,199579,199889,200500,200368,197979,197468,199332,203008,202214,1.0105,1.266,0.334,1.504,1.107,1.504
71,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66578,33397,33500,33171,33354,33122,66721,33359,33435,33363,33419,33231,66763,33295,33292,33328,33469,33016,66519,33668,33276,33403,33342,33262,66717,199723,200221,199980,199682,200394,198334,201329,199880,198087,202370,0.833,0.6645,0.06,0.9565,1.185,1.185
72,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66689,33374,33148,33086,33703,33357,66786,33151,33514,33192,33416,33459,66766,33188,33171,33420,33539,33400,66465,33176,33344,33596,33582,33416,66062,200226,200754,200047,199669,199304,201359,204535,200283,198009,195814,0.6795,2.2675,0.1415,0.9955,2.093,2.2675
73,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66696,33060,33421,33514,33309,33028,66724,33270,33433,33545,33408,33366,66931,33174,33121,33249,33362,33410,66942,33037,33411,33454,33234,33568,66333,199792,199966,200266,200631,199345,198749,199795,201600,203795,196060,0.6255,0.1025,0.8,1.8975,1.97,1.97
74,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66306,33423,33384,33257,33630,33411,66879,33363,33150,33197,33581,33369,66285,33568,33197,33177,33189,33587,66647,33400,33408,33254,33364,33549,66425,199883,200114,199983,200171,199849,199296,200686,199898,201029,199092,0.352,0.343,0.051,0.5145,0.454,0.5145
75,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66351,33371,33572,33199,33507,33142,66600,33339,33300,33619,33273,33255,66887,33337,33248,33248,33339,33144,67007,33262,33311,33580,33355,33447,66307,199325,200145,200297,200290,199943,195940,200872,201786,201744,199657,2.03,0.436,0.893,0.872,0.1715,2.03
