sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,37462,12538,12544,37456,50006,49994,50012,49988,0.024,0.024,0.024
1,50000,50000,50000,50000,37524,12476,12430,37570,49954,50046,49908,50092,0.184,0.184,0.184
2,50000,50000,50000,50000,37621,12379,12599,37401,50220,49780,50440,49560,0.88,0.88,0.88
3,50000,50000,50000,50000,37552,12448,12493,37507,50045,49955,50090,49910,0.18,0.18,0.18
4,50000,50000,50000,50000,37580,12420,12489,37511,50069,49931,50138,49862,0.276,0.276,0.276
5,50000,50000,50000,50000,37425,12575,12533,37467,49958,50042,49916,50084,0.168,0.168,0.168
6,50000,50000,50000,50000,37242,12758,12412,37588,49654,50346,49308,50692,1.384,1.384,1.384
7,50000,50000,50000,50000,37459,12541,12578,37422,50037,49963,50074,49926,0.148,0.148,0.148
8,50000,50000,50000,50000,37265,12735,12377,37623,49642,50358,49284,50716,1.432,1.432,1.432
9,50000,50000,50000,50000,37520,12480,12527,37473,50047,49953,50094,49906,0.188,0.188,0.188
10,50000,50000,50000,50000,37458,12542,12574,37426,50032,49968,50064,49936,0.128,0.128,0.128
11,50000,50000,50000,50000,37480,12520,12586,37414,50066,49934,50132,49868,0.264,0.264,0.264
12,50000,50000,50000,50000,37503,12497,12475,37525,49978,50022,49956,50044,0.088,0.088,0.088
13,50000,50000,50000,50000,37599,12401,12493,37507,50092,49908,50184,49816,0.368,0.368,0.368
14,50000,50000,50000,50000,37501,12499,12565,37435,50066,49934,50132,49868,0.264,0.264,0.264
15,50000,50000,50000,50000,37538,12462,12475,37525,50013,49987,50026,49974,0.052,0.052,0.052
16,50000,50000,50000,50000,37442,12558,12388,37612,49830,50170,49660,50340,0.68,0.68,0.68
17,50000,50000,50000,50000,37598,12402,12421,37579,50019,49981,50038,49962,0.076,0.076,0.076
18,50000,50000,50000,50000,37469,12531,12669,37331,50138,49862,50276,49724,0.552,0.552,0.552
19,50000,50000,50000,50000,37515,12485,12490,37510,50005,49995,50010,49990,0.02,0.02,0.02
20,50000,50000,50000,50000,37426,12574,12623,37377,50049,49951,50098,49902,0.196,0.196,0.196
21,50000,50000,50000,50000,37624,12376,12649,37351,50273,49727,50546,49454,1.092,1.092,1.092
22,50000,50000,50000,50000,37426,12574,12508,37492,49934,50066,49868,50132,0.264,0.264,0.264
23,50000,50000,50000,50000,37409,12591,12452,37548,49861,50139,49722,50278,0.556,0.556,0.556
