sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,27682,22318,22491,27509,50173,49827,51730,48270,3.46,3.46,3.46
1,50000,50000,50000,50000,27414,22586,22593,27407,50007,49993,50070,49930,0.14,0.14,0.14
2,50000,50000,50000,50000,27436,22564,22477,27523,49913,50087,49130,50870,1.74,1.74,1.74
3,50000,50000,50000,50000,27410,22590,22654,27346,50064,49936,50640,49360,1.28,1.28,1.28
4,50000,50000,50000,50000,27339,22661,22503,27497,49842,50158,48420,51580,3.16,3.16,3.16
5,50000,50000,50000,50000,27630,22370,22413,27587,50043,49957,50430,49570,0.86,0.86,0.86
6,50000,50000,50000,50000,27361,22639,22520,27480,49881,50119,48810,51190,2.38,2.38,2.38
7,50000,50000,50000,50000,27499,22501,22406,27594,49905,50095,49050,50950,1.9,1.9,1.9
8,50000,50000,50000,50000,27677,22323,22538,27462,50215,49785,52150,47850,4.3,4.3,4.3
9,50000,50000,50000,50000,27677,22323,22473,27527,50150,49850,51500,48500,3.0,3.0,3.0
10,50000,50000,50000,50000,27732,22268,22372,27628,50104,49896,51040,48960,2.08,2.08,2.08
11,50000,50000,50000,50000,27449,22551,22533,27467,49982,50018,49820,50180,0.36,0.36,0.36
12,50000,50000,50000,50000,27494,22506,22506,27494,50000,50000,50000,50000,0.0,0.0,0.0
13,50000,50000,50000,50000,27296,22704,22481,27519,49777,50223,47770,52230,4.46,4.46,4.46
14,50000,50000,50000,50000,27575,22425,22614,27386,50189,49811,51890,48110,3.78,3.78,3.78
15,50000,50000,50000,50000,27429,22571,22359,27641,49788,50212,47880,52120,4.24,4.24,4.24
16,50000,50000,50000,50000,27477,22523,22368,27632,49845,50155,48450,51550,3.1,3.1,3.1
17,50000,50000,50000,50000,27605,22395,22578,27422,50183,49817,51830,48170,3.66,3.66,3.66
18,50000,50000,50000,50000,27388,22612,22330,27670,49718,50282,47180,52820,5.64,5.64,5.64
19,50000,50000,50000,50000,27480,22520,22530,27470,50010,49990,50100,49900,0.2,0.2,0.2
20,50000,50000,50000,50000,27528,22472,22547,27453,50075,49925,50750,49250,1.5,1.5,1.5
21,50000,50000,50000,50000,27485,22515,22560,27440,50045,49955,50450,49550,0.9,0.9,0.9
22,50000,50000,50000,50000,27414,22586,22577,27423,49991,50009,49910,50090,0.18,0.18,0.18
23,50000,50000,50000,50000,27344,22656,22464,27536,49808,50192,48080,51920,3.84,3.84,3.84
24,50000,50000,50000,50000,27567,22433,22564,27436,50131,49869,51310,48690,2.62,2.62,2.62
25,50000,50000,50000,50000,27496,22504,22475,27525,49971,50029,49710,50290,0.58,0.58,0.58
