sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,44949,5051,4981,45019,49930,50070,49912,50088,0.176,0.176,0.176
1,50000,50000,50000,50000,45078,4922,4887,45113,49965,50035,49956,50044,0.088,0.088,0.088
2,50000,50000,50000,50000,44991,5009,4986,45014,49977,50023,49971,50029,0.058,0.058,0.058
3,50000,50000,50000,50000,45023,4977,4987,45013,50010,49990,50012,49988,0.024,0.024,0.024
4,50000,50000,50000,50000,44990,5010,5020,44980,50010,49990,50012,49988,0.024,0.024,0.024
5,50000,50000,50000,50000,45100,4900,5008,44992,50108,49892,50135,49865,0.27,0.27,0.27
6,50000,50000,50000,50000,45039,4961,4891,45109,49930,50070,49912,50088,0.176,0.176,0.176
7,50000,50000,50000,50000,45037,4963,4998,45002,50035,49965,50044,49956,0.088,0.088,0.088
8,50000,50000,50000,50000,45019,4981,5011,44989,50030,49970,50038,49962,0.076,0.076,0.076
9,50000,50000,50000,50000,45016,4984,4982,45018,49998,50002,49998,50002,0.004,0.004,0.004
10,50000,50000,50000,50000,45010,4990,4916,45084,49926,50074,49908,50092,0.184,0.184,0.184
11,50000,50000,50000,50000,45036,4964,4932,45068,49968,50032,49960,50040,0.08,0.08,0.08
12,50000,50000,50000,50000,45017,4983,4839,45161,49856,50144,49820,50180,0.36,0.36,0.36
13,50000,50000,50000,50000,45152,4848,5038,44962,50190,49810,50238,49762,0.476,0.476,0.476
14,50000,50000,50000,50000,44927,5073,4971,45029,49898,50102,49872,50128,0.256,0.256,0.256
15,50000,50000,50000,50000,45085,4915,4879,45121,49964,50036,49955,50045,0.09,0.09,0.09
16,50000,50000,50000,50000,45114,4886,5001,44999,50115,49885,50144,49856,0.288,0.288,0.288
17,50000,50000,50000,50000,44856,5144,4974,45026,49830,50170,49788,50212,0.424,0.424,0.424
18,50000,50000,50000,50000,44918,5082,5018,44982,49936,50064,49920,50080,0.16,0.16,0.16
19,50000,50000,50000,50000,44862,5138,4934,45066,49796,50204,49745,50255,0.51,0.51,0.51
20,50000,50000,50000,50000,45002,4998,5079,44921,50081,49919,50101,49899,0.202,0.202,0.202
21,50000,50000,50000,50000,45018,4982,4958,45042,49976,50024,49970,50030,0.06,0.06,0.06
22,50000,50000,50000,50000,44948,5052,5067,44933,50015,49985,50019,49981,0.038,0.038,0.038
23,50000,50000,50000,50000,44970,5030,5019,44981,49989,50011,49986,50014,0.028,0.028,0.028
24,50000,50000,50000,50000,44992,5008,5082,44918,50074,49926,50092,49908,0.184,0.184,0.184
25,50000,50000,50000,50000,45070,4930,4987,45013,50057,49943,50071,49929,0.142,0.142,0.142
26,50000,50000,50000,50000,44916,5084,5023,44977,49939,50061,49924,50076,0.152,0.152,0.152
27,50000,50000,50000,50000,45034,4966,5075,44925,50109,49891,50136,49864,0.272,0.272,0.272
28,50000,50000,50000,50000,45129,4871,5013,44987,50142,49858,50178,49822,0.356,0.356,0.356
29,50000,50000,50000,50000,45039,4961,5110,44890,50149,49851,50186,49814,0.372,0.372,0.372
30,50000,50000,50000,50000,44983,5017,5040,44960,50023,49977,50029,49971,0.058,0.058,0.058
31,50000,50000,50000,50000,45073,4927,5031,44969,50104,49896,50130,49870,0.26,0.26,0.26
32,50000,50000,50000,50000,45117,4883,5071,44929,50188,49812,50235,49765,0.47,0.47,0.47
33,50000,50000,50000,50000,45085,4915,5102,44898,50187,49813,50234,49766,0.468,0.468,0.468
34,50000,50000,50000,50000,44986,5014,5006,44994,49992,50008,49990,50010,0.02,0.02,0.02
35,50000,50000,50000,50000,45051,4949,5046,44954,50097,49903,50121,49879,0.242,0.242,0.242
36,50000,50000,50000,50000,44973,5027,5061,44939,50034,49966,50042,49958,0.084,0.084,0.084
37,50000,50000,50000,50000,45022,4978,5080,44920,50102,49898,50128,49872,0.256,0.256,0.256
38,50000,50000,50000,50000,45027,4973,5063,44937,50090,49910,50112,49888,0.224,0.224,0.224
39,50000,50000,50000,50000,45042,4958,4900,45100,49942,50058,49928,50072,0.144,0.144,0.144
40,50000,50000,50000,50000,44853,5147,5077,44923,49930,50070,49912,50088,0.176,0.176,0.176
41,50000,50000,50000,50000,45027,4973,5013,44987,50040,49960,50050,49950,0.1,0.1,0.1
42,50000,50000,50000,50000,45060,4940,5000,45000,50060,49940,50075,49925,0.15,0.15,0.15
43,50000,50000,50000,50000,45032,4968,4986,45014,50018,49982,50022,49978,0.044,0.044,0.044
44,50000,50000,50000,50000,44929,5071,4980,45020,49909,50091,49886,50114,0.228,0.228,0.228
45,50000,50000,50000,50000,45005,4995,5096,44904,50101,49899,50126,49874,0.252,0.252,0.252
46,50000,50000,50000,50000,44914,5086,5015,44985,49929,50071,49911,50089,0.178,0.178,0.178
47,50000,50000,50000,50000,45068,4932,5014,44986,50082,49918,50102,49898,0.204,0.204,0.204
