sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,29916,20084,19903,30097,49819,50181,49095,50905,1.81,1.81,1.81
1,50000,50000,50000,50000,30075,19925,19984,30016,50059,49941,50295,49705,0.59,0.59,0.59
2,50000,50000,50000,50000,30167,19833,20107,29893,50274,49726,51370,48630,2.74,2.74,2.74
3,50000,50000,50000,50000,30051,19949,19879,30121,49930,50070,49650,50350,0.7,0.7,0.7
4,50000,50000,50000,50000,29988,20012,20023,29977,50011,49989,50055,49945,0.11,0.11,0.11
5,50000,50000,50000,50000,30123,19877,20104,29896,50227,49773,51135,48865,2.27,2.27,2.27
6,50000,50000,50000,50000,29872,20128,19948,30052,49820,50180,49100,50900,1.8,1.8,1.8
7,50000,50000,50000,50000,30097,19903,20072,29928,50169,49831,50845,49155,1.69,1.69,1.69
8,50000,50000,50000,50000,29795,20205,20106,29894,49901,50099,49505,50495,0.99,0.99,0.99
9,50000,50000,50000,50000,30182,19818,19917,30083,50099,49901,50495,49505,0.99,0.99,0.99
10,50000,50000,50000,50000,29966,20034,19846,30154,49812,50188,49060,50940,1.88,1.88,1.88
11,50000,50000,50000,50000,30081,19919,20093,29907,50174,49826,50870,49130,1.74,1.74,1.74
12,50000,50000,50000,50000,29887,20113,20175,29825,50062,49938,50310,49690,0.62,0.62,0.62
13,50000,50000,50000,50000,29989,20011,19929,30071,49918,50082,49590,50410,0.82,0.82,0.82
14,50000,50000,50000,50000,29797,20203,20058,29942,49855,50145,49275,50725,1.45,1.45,1.45
15,50000,50000,50000,50000,30061,19939,20041,29959,50102,49898,50510,49490,1.02,1.02,1.02
16,50000,50000,50000,50000,29963,20037,20198,29802,50161,49839,50805,49195,1.61,1.61,1.61
17,50000,50000,50000,50000,30079,19921,19937,30063,50016,49984,50080,49920,0.16,0.16,0.16
18,50000,50000,50000,50000,29993,20007,20159,29841,50152,49848,50760,49240,1.52,1.52,1.52
19,50000,50000,50000,50000,30037,19963,19962,30038,49999,50001,49995,50005,0.01,0.01,0.01
20,50000,50000,50000,50000,30020,19980,20013,29987,50033,49967,50165,49835,0.33,0.33,0.33
21,50000,50000,50000,50000,30055,19945,19917,30083,49972,50028,49860,50140,0.28,0.28,0.28
22,50000,50000,50000,50000,29870,20130,19997,30003,49867,50133,49335,50665,1.33,1.33,1.33
23,50000,50000,50000,50000,29933,20067,19937,30063,49870,50130,49350,50650,1.3,1.3,1.3
24,50000,50000,50000,50000,29977,20023,20037,29963,50014,49986,50070,49930,0.14,0.14,0.14
25,50000,50000,50000,50000,29956,20044,19921,30079,49877,50123,49385,50615,1.23,1.23,1.23
26,50000,50000,50000,50000,30114,19886,20060,29940,50174,49826,50870,49130,1.74,1.74,1.74
27,50000,50000,50000,50000,30030,19970,19945,30055,49975,50025,49875,50125,0.25,0.25,0.25
28,50000,50000,50000,50000,30260,19740,19963,30037,50223,49777,51115,48885,2.23,2.23,2.23
29,50000,50000,50000,50000,30118,19882,20133,29867,50251,49749,51255,48745,2.51,2.51,2.51
30,50000,50000,50000,50000,29734,20266,20142,29858,49876,50124,49380,50620,1.24,1.24,1.24
31,50000,50000,50000,50000,29876,20124,19891,30109,49767,50233,48835,51165,2.33,2.33,2.33
32,50000,50000,50000,50000,29757,20243,20005,29995,49762,50238,48810,51190,2.38,2.38,2.38
33,50000,50000,50000,50000,30118,19882,20075,29925,50193,49807,50965,49035,1.93,1.93,1.93
34,50000,50000,50000,50000,29818,20182,19919,30081,49737,50263,48685,51315,2.63,2.63,2.63
35,50000,50000,50000,50000,30074,19926,20119,29881,50193,49807,50965,49035,1.93,1.93,1.93
36,50000,50000,50000,50000,29905,20095,19963,30037,49868,50132,49340,50660,1.32,1.32,1.32
37,50000,50000,50000,50000,29887,20113,20143,29857,50030,49970,50150,49850,0.3,0.3,0.3
38,50000,50000,50000,50000,29840,20160,19942,30058,49782,50218,48910,51090,2.18,2.18,2.18
39,50000,50000,50000,50000,30107,19893,19838,30162,49945,50055,49725,50275,0.55,0.55,0.55
40,50000,50000,50000,50000,29755,20245,19929,30071,49684,50316,48420,51580,3.16,3.16,3.16
41,50000,50000,50000,50000,29838,20162,20154,29846,49992,50008,49960,50040,0.08,0.08,0.08
42,50000,50000,50000,50000,30070,19930,19980,30020,50050,49950,50250,49750,0.5,0.5,0.5
43,50000,50000,50000,50000,29971,20029,20050,29950,50021,49979,50105,49895,0.21,0.21,0.21
44,50000,50000,50000,50000,30046,19954,20123,29877,50169,49831,50845,49155,1.69,1.69,1.69
45,50000,50000,50000,50000,29903,20097,19911,30089,49814,50186,49070,50930,1.86,1.86,1.86
46,50000,50000,50000,50000,29929,20071,19883,30117,49812,50188,49060,50940,1.88,1.88,1.88
47,50000,50000,50000,50000,29950,20050,20097,29903,50047,49953,50235,49765,0.47,0.47,0.47
48,50000,50000,50000,50000,30109,19891,20072,29928,50181,49819,50905,49095,1.81,1.81,1.81
49,50000,50000,50000,50000,30003,19997,19923,30077,49926,50074,49630,50370,0.74,0.74,0.74
50,50000,50000,50000,50000,29828,20172,19932,30068,49760,50240,48800,51200,2.4,2.4,2.4
51,50000,50000,50000,50000,30086,19914,20097,29903,50183,49817,50915,49085,1.83,1.83,1.83
52,50000,50000,50000,50000,29909,20091,19871,30129,49780,50220,48900,51100,2.2,2.2,2.2
53,50000,50000,50000,50000,29655,20345,19879,30121,49534,50466,47670,52330,4.66,4.66,4.66
54,50000,50000,50000,50000,29907,20093,19882,30118,49789,50211,48945,51055,2.11,2.11,2.11
55,50000,50000,50000,50000,30150,19850,19727,30273,49877,50123,49385,50615,1.23,1.23,1.23
56,50000,50000,50000,50000,30166,19834,19968,30032,50134,49866,50670,49330,1.34,1.34,1.34
57,50000,50000,50000,50000,29950,20050,19974,30026,49924,50076,49620,50380,0.76,0.76,0.76
58,50000,50000,50000,50000,29992,20008,19965,30035,49957,50043,49785,50215,0.43,0.43,0.43
59,50000,50000,50000,50000,30079,19921,20024,29976,50103,49897,50515,49485,1.03,1.03,1.03
60,50000,50000,50000,50000,29989,20011,19896,30104,49885,50115,49425,50575,1.15,1.15,1.15
61,50000,50000,50000,50000,29836,20164,19974,30026,49810,50190,49050,50950,1.9,1.9,1.9
62,50000,50000,50000,50000,30215,19785,19935,30065,50150,49850,50750,49250,1.5,1.5,1.5
63,50000,50000,50000,50000,30058,19942,19914,30086,49972,50028,49860,50140,0.28,0.28,0.28
64,50000,50000,50000,50000,29765,20235,19858,30142,49623,50377,48115,51885,3.77,3.77,3.77
65,50000,50000,50000,50000,30038,19962,19903,30097,49941,50059,49705,50295,0.59,0.59,0.59
66,50000,50000,50000,50000,29950,20050,19937,30063,49887,50113,49435,50565,1.13,1.13,1.13
67,50000,50000,50000,50000,30014,19986,19673,30327,49687,50313,48435,51565,3.13,3.13,3.13
68,50000,50000,50000,50000,30053,19947,20019,29981,50072,49928,50360,49640,0.72,0.72,0.72
69,50000,50000,50000,50000,30085,19915,19863,30137,49948,50052,49740,50260,0.52,0.52,0.52
70,50000,50000,50000,50000,30168,19832,19872,30128,50040,49960,50200,49800,0.4,0.4,0.4
71,50000,50000,50000,50000,29979,20021,20090,29910,50069,49931,50345,49655,0.69,0.69,0.69
72,50000,50000,50000,50000,29918,20082,19976,30024,49894,50106,49470,50530,1.06,1.06,1.06
73,50000,50000,50000,50000,29979,20021,20073,29927,50052,49948,50260,49740,0.52,0.52,0.52
74,50000,50000,50000,50000,30029,19971,20040,29960,50069,49931,50345,49655,0.69,0.69,0.69
75,50000,50000,50000,50000,29902,20098,19974,30026,49876,50124,49380,50620,1.24,1.24,1.24
76,50000,50000,50000,50000,29926,20074,20033,29967,49959,50041,49795,50205,0.41,0.41,0.41
