sim_index,c1_actual,c2_actual,c3_actual,i1_expected,i2_expected,i3_expected,c1_to_i1,c1_to_i2,c1_to_i3,c2_to_i1,c2_to_i2,c2_to_i3,c3_to_i1,c3_to_i2,c3_to_i3,i1_counted,i2_counted,i3_counted,c1_computed,c2_computed,c3_computed,c1_percent_error,c2_percent_error,c3_percent_error,max_percent_error
0,65000,110000,45000,70000,88000,62000,39173,12943,12884,22053,66207,21740,8859,8946,27195,70085,88096,61819,65212,110240,44548,0.3261538461538461,0.21818181818181817,1.0044444444444445,1.0044444444444445
1,65000,110000,45000,70000,88000,62000,39119,12886,12995,22163,65887,21950,8974,8952,27074,70256,87725,62019,65640,109312,45048,0.9846153846153847,0.6254545454545455,0.10666666666666667,0.9846153846153847
2,65000,110000,45000,70000,88000,62000,39175,12866,12959,21686,66227,22087,9079,8883,27038,69940,87976,62084,64850,109940,45210,0.23076923076923078,0.05454545454545454,0.4666666666666667,0.4666666666666667
3,65000,110000,45000,70000,88000,62000,39006,12862,13132,21938,66104,21958,8954,9009,27037,69898,87975,62127,64745,109938,45318,0.3923076923076923,0.056363636363636366,0.7066666666666667,0.7066666666666667
