sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,35050,14950,14945,35055,49995,50005,49988,50012,0.024,0.024,0.024
1,50000,50000,50000,50000,34930,15070,15052,34948,49982,50018,49955,50045,0.09,0.09,0.09
2,50000,50000,50000,50000,35000,15000,15232,34768,50232,49768,50580,49420,1.16,1.16,1.16
3,50000,50000,50000,50000,35023,14977,14912,35088,49935,50065,49838,50162,0.324,0.324,0.324
4,50000,50000,50000,50000,35193,14807,15080,34920,50273,49727,50683,49317,1.366,1.366,1.366
