sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,35147,14853,14967,35033,50114,49886,50285,49715,0.57,0.57,0.57
1,50000,50000,50000,50000,35182,14818,14920,35080,50102,49898,50255,49745,0.51,0.51,0.51
2,50000,50000,50000,50000,35076,14924,14864,35136,49940,50060,49850,50150,0.3,0.3,0.3
3,50000,50000,50000,50000,35107,14893,15080,34920,50187,49813,50468,49532,0.936,0.936,0.936
4,50000,50000,50000,50000,35033,14967,14873,35127,49906,50094,49765,50235,0.47,0.47,0.47
5,50000,50000,50000,50000,35006,14994,15037,34963,50043,49957,50108,49892,0.216,0.216,0.216
6,50000,50000,50000,50000,34944,15056,15028,34972,49972,50028,49930,50070,0.14,0.14,0.14
7,50000,50000,50000,50000,34779,15221,14994,35006,49773,50227,49433,50567,1.134,1.134,1.134
8,50000,50000,50000,50000,34938,15062,15052,34948,49990,50010,49975,50025,0.05,0.05,0.05
9,50000,50000,50000,50000,34996,15004,14993,35007,49989,50011,49973,50027,0.054,0.054,0.054
10,50000,50000,50000,50000,35020,14980,14844,35156,49864,50136,49660,50340,0.68,0.68,0.68
11,50000,50000,50000,50000,34908,15092,14949,35051,49857,50143,49643,50357,0.714,0.714,0.714
12,50000,50000,50000,50000,35059,14941,15051,34949,50110,49890,50275,49725,0.55,0.55,0.55
13,50000,50000,50000,50000,35054,14946,14871,35129,49925,50075,49813,50187,0.374,0.374,0.374
14,50000,50000,50000,50000,35009,14991,14976,35024,49985,50015,49963,50037,0.074,0.074,0.074
15,50000,50000,50000,50000,35077,14923,14799,35201,49876,50124,49690,50310,0.62,0.62,0.62
16,50000,50000,50000,50000,35012,14988,15023,34977,50035,49965,50088,49912,0.176,0.176,0.176
17,50000,50000,50000,50000,34987,15013,15038,34962,50025,49975,50063,49937,0.126,0.126,0.126
18,50000,50000,50000,50000,34941,15059,14887,35113,49828,50172,49570,50430,0.86,0.86,0.86
19,50000,50000,50000,50000,35065,14935,14804,35196,49869,50131,49673,50327,0.654,0.654,0.654
20,50000,50000,50000,50000,34957,15043,15028,34972,49985,50015,49963,50037,0.074,0.074,0.074
21,50000,50000,50000,50000,34965,15035,15008,34992,49973,50027,49933,50067,0.134,0.134,0.134
22,50000,50000,50000,50000,34887,15113,15106,34894,49993,50007,49983,50017,0.034,0.034,0.034
23,50000,50000,50000,50000,35020,14980,14993,35007,50013,49987,50033,49967,0.066,0.066,0.066
24,50000,50000,50000,50000,34934,15066,14885,35115,49819,50181,49548,50452,0.904,0.904,0.904
25,50000,50000,50000,50000,34853,15147,15013,34987,49866,50134,49665,50335,0.67,0.67,0.67
26,50000,50000,50000,50000,34939,15061,14774,35226,49713,50287,49283,50717,1.434,1.434,1.434
27,50000,50000,50000,50000,34994,15006,14960,35040,49954,50046,49885,50115,0.23,0.23,0.23
28,50000,50000,50000,50000,35011,14989,15101,34899,50112,49888,50280,49720,0.56,0.56,0.56
29,50000,50000,50000,50000,35131,14869,15034,34966,50165,49835,50413,49587,0.826,0.826,0.826
30,50000,50000,50000,50000,34950,15050,14818,35182,49768,50232,49420,50580,1.16,1.16,1.16
