sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,35006,14994,14922,35078,49928,50072,49820,50180,0.36,0.36,0.36
1,50000,50000,50000,50000,34968,15032,14973,35027,49941,50059,49853,50147,0.294,0.294,0.294
2,50000,50000,50000,50000,34924,15076,15107,34893,50031,49969,50078,49922,0.156,0.156,0.156
3,50000,50000,50000,50000,34993,15007,15175,34825,50168,49832,50420,49580,0.84,0.84,0.84
4,50000,50000,50000,50000,35068,14932,14925,35075,49993,50007,49983,50017,0.034,0.034,0.034
5,50000,50000,50000,50000,35087,14913,15042,34958,50129,49871,50323,49677,0.646,0.646,0.646
6,50000,50000,50000,50000,34778,15222,14977,35023,49755,50245,49388,50612,1.224,1.224,1.224
7,50000,50000,50000,50000,34910,15090,15177,34823,50087,49913,50218,49782,0.436,0.436,0.436
8,50000,50000,50000,50000,34991,15009,15057,34943,50048,49952,50120,49880,0.24,0.24,0.24
9,50000,50000,50000,50000,35048,14952,14913,35087,49961,50039,49903,50097,0.194,0.194,0.194
10,50000,50000,50000,50000,34922,15078,14963,35037,49885,50115,49713,50287,0.574,0.574,0.574
11,50000,50000,50000,50000,35336,14664,14895,35105,50231,49769,50578,49422,1.156,1.156,1.156
12,50000,50000,50000,50000,35077,14923,15220,34780,50297,49703,50743,49257,1.486,1.486,1.486
13,50000,50000,50000,50000,34915,15085,14673,35327,49588,50412,48970,51030,2.06,2.06,2.06
14,50000,50000,50000,50000,35041,14959,15073,34927,50114,49886,50285,49715,0.57,0.57,0.57
15,50000,50000,50000,50000,34954,15046,15032,34968,49986,50014,49965,50035,0.07,0.07,0.07
16,50000,50000,50000,50000,34918,15082,14855,35145,49773,50227,49433,50567,1.134,1.134,1.134
17,50000,50000,50000,50000,34858,15142,15079,34921,49937,50063,49843,50157,0.314,0.314,0.314
18,50000,50000,50000,50000,34843,15157,14991,35009,49834,50166,49585,50415,0.83,0.83,0.83
19,50000,50000,50000,50000,34834,15166,14955,35045,49789,50211,49473,50527,1.054,1.054,1.054
20,50000,50000,50000,50000,35102,14898,15024,34976,50126,49874,50315,49685,0.63,0.63,0.63
21,50000,50000,50000,50000,34973,15027,15011,34989,49984,50016,49960,50040,0.08,0.08,0.08
22,50000,50000,50000,50000,35134,14866,14942,35058,50076,49924,50190,49810,0.38,0.38,0.38
23,50000,50000,50000,50000,35102,14898,15168,34832,50270,49730,50675,49325,1.35,1.35,1.35
24,50000,50000,50000,50000,35109,14891,14921,35079,50030,49970,50075,49925,0.15,0.15,0.15
25,50000,50000,50000,50000,34920,15080,15093,34907,50013,49987,50033,49967,0.066,0.066,0.066
26,50000,50000,50000,50000,35125,14875,14912,35088,50037,49963,50093,49907,0.186,0.186,0.186
27,50000,50000,50000,50000,35057,14943,14964,35036,50021,49979,50053,49947,0.106,0.106,0.106
28,50000,50000,50000,50000,35025,14975,15174,34826,50199,49801,50498,49502,0.996,0.996,0.996
29,50000,50000,50000,50000,35031,14969,15049,34951,50080,49920,50200,49800,0.4,0.4,0.4
30,50000,50000,50000,50000,34922,15078,15142,34858,50064,49936,50160,49840,0.32,0.32,0.32
31,50000,50000,50000,50000,34963,15037,14782,35218,49745,50255,49363,50637,1.274,1.274,1.274
32,50000,50000,50000,50000,34783,15217,14994,35006,49777,50223,49443,50557,1.114,1.114,1.114
33,50000,50000,50000,50000,35148,14852,15200,34800,50348,49652,50870,49130,1.74,1.74,1.74
34,50000,50000,50000,50000,34993,15007,14917,35083,49910,50090,49775,50225,0.45,0.45,0.45
35,50000,50000,50000,50000,35003,14997,15072,34928,50075,49925,50188,49812,0.376,0.376,0.376
36,50000,50000,50000,50000,34948,15052,15010,34990,49958,50042,49895,50105,0.21,0.21,0.21
37,50000,50000,50000,50000,35198,14802,14978,35022,50176,49824,50440,49560,0.88,0.88,0.88
38,50000,50000,50000,50000,34979,15021,15053,34947,50032,49968,50080,49920,0.16,0.16,0.16
39,50000,50000,50000,50000,35024,14976,15048,34952,50072,49928,50180,49820,0.36,0.36,0.36
40,50000,50000,50000,50000,34841,15159,14964,35036,49805,50195,49513,50487,0.974,0.974,0.974
41,50000,50000,50000,50000,34873,15127,15025,34975,49898,50102,49745,50255,0.51,0.51,0.51
42,50000,50000,50000,50000,35112,14888,14852,35148,49964,50036,49910,50090,0.18,0.18,0.18
43,50000,50000,50000,50000,34983,15017,14963,35037,49946,50054,49865,50135,0.27,0.27,0.27
44,50000,50000,50000,50000,35020,14980,15018,34982,50038,49962,50095,49905,0.19,0.19,0.19
45,50000,50000,50000,50000,34775,15225,15195,34805,49970,50030,49925,50075,0.15,0.15,0.15
46,50000,50000,50000,50000,34815,15185,15011,34989,49826,50174,49565,50435,0.87,0.87,0.87
47,50000,50000,50000,50000,34974,15026,15081,34919,50055,49945,50138,49862,0.276,0.276,0.276
48,50000,50000,50000,50000,35128,14872,15001,34999,50129,49871,50323,49677,0.646,0.646,0.646
49,50000,50000,50000,50000,34998,15002,14965,35035,49963,50037,49908,50092,0.184,0.184,0.184
