sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,34987,15013,14931,35069,49918,50082,49795,50205,0.41,0.41,0.41
1,50000,50000,50000,50000,35008,14992,15079,34921,50087,49913,50218,49782,0.436,0.436,0.436
2,50000,50000,50000,50000,35245,14755,14886,35114,50131,49869,50328,49672,0.656,0.656,0.656
3,50000,50000,50000,50000,35069,14931,14845,35155,49914,50086,49785,50215,0.43,0.43,0.43
4,50000,50000,50000,50000,34912,15088,15038,34962,49950,50050,49875,50125,0.25,0.25,0.25
5,50000,50000,50000,50000,34873,15127,15011,34989,49884,50116,49710,50290,0.58,0.58,0.58
6,50000,50000,50000,50000,35013,14987,15129,34871,50142,49858,50355,49645,0.71,0.71,0.71
7,50000,50000,50000,50000,34998,15002,14870,35130,49868,50132,49670,50330,0.66,0.66,0.66
8,50000,50000,50000,50000,34863,15137,15015,34985,49878,50122,49695,50305,0.61,0.61,0.61
9,50000,50000,50000,50000,35051,14949,15216,34784,50267,49733,50668,49332,1.336,1.336,1.336
10,50000,50000,50000,50000,34853,15147,15026,34974,49879,50121,49698,50302,0.604,0.604,0.604
11,50000,50000,50000,50000,35021,14979,14921,35079,49942,50058,49855,50145,0.29,0.29,0.29
12,50000,50000,50000,50000,34866,15134,15058,34942,49924,50076,49810,50190,0.38,0.38,0.38
13,50000,50000,50000,50000,34882,15118,14908,35092,49790,50210,49475,50525,1.05,1.05,1.05
14,50000,50000,50000,50000,34970,15030,15194,34806,50164,49836,50410,49590,0.82,0.82,0.82
15,50000,50000,50000,50000,34939,15061,15027,34973,49966,50034,49915,50085,0.17,0.17,0.17
16,50000,50000,50000,50000,35112,14888,15102,34898,50214,49786,50535,49465,1.07,1.07,1.07
17,50000,50000,50000,50000,34865,15135,15133,34867,49998,50002,49995,50005,0.01,0.01,0.01
18,50000,50000,50000,50000,34838,15162,15212,34788,50050,49950,50125,49875,0.25,0.25,0.25
19,50000,50000,50000,50000,35064,14936,14893,35107,49957,50043,49893,50107,0.214,0.214,0.214
20,50000,50000,50000,50000,34919,15081,15101,34899,50020,49980,50050,49950,0.1,0.1,0.1
21,50000,50000,50000,50000,34969,15031,15107,34893,50076,49924,50190,49810,0.38,0.38,0.38
22,50000,50000,50000,50000,34991,15009,14932,35068,49923,50077,49808,50192,0.384,0.384,0.384
23,50000,50000,50000,50000,35121,14879,15099,34901,50220,49780,50550,49450,1.1,1.1,1.1
24,50000,50000,50000,50000,35014,14986,14999,35001,50013,49987,50033,49967,0.066,0.066,0.066
25,50000,50000,50000,50000,35095,14905,14968,35032,50063,49937,50158,49842,0.316,0.316,0.316
26,50000,50000,50000,50000,35039,14961,14983,35017,50022,49978,50055,49945,0.11,0.11,0.11
27,50000,50000,50000,50000,35146,14854,14989,35011,50135,49865,50338,49662,0.676,0.676,0.676
28,50000,50000,50000,50000,34907,15093,15101,34899,50008,49992,50020,49980,0.04,0.04,0.04
29,50000,50000,50000,50000,34994,15006,15054,34946,50048,49952,50120,49880,0.24,0.24,0.24
30,50000,50000,50000,50000,34985,15015,14949,35051,49934,50066,49835,50165,0.33,0.33,0.33
31,50000,50000,50000,50000,35080,14920,14935,35065,50015,49985,50038,49962,0.076,0.076,0.076
32,50000,50000,50000,50000,34977,15023,15076,34924,50053,49947,50133,49867,0.266,0.266,0.266
33,50000,50000,50000,50000,35054,14946,14900,35100,49954,50046,49885,50115,0.23,0.23,0.23
34,50000,50000,50000,50000,35059,14941,15001,34999,50060,49940,50150,49850,0.3,0.3,0.3
35,50000,50000,50000,50000,34957,15043,15005,34995,49962,50038,49905,50095,0.19,0.19,0.19
36,50000,50000,50000,50000,34970,15030,15136,34864,50106,49894,50265,49735,0.53,0.53,0.53
37,50000,50000,50000,50000,35022,14978,14981,35019,50003,49997,50008,49992,0.016,0.016,0.016
38,50000,50000,50000,50000,35088,14912,14951,35049,50039,49961,50098,49902,0.196,0.196,0.196
39,50000,50000,50000,50000,34914,15086,15109,34891,50023,49977,50058,49942,0.116,0.116,0.116
40,50000,50000,50000,50000,35014,14986,14952,35048,49966,50034,49915,50085,0.17,0.17,0.17
41,50000,50000,50000,50000,34812,15188,14876,35124,49688,50312,49220,50780,1.56,1.56,1.56
42,50000,50000,50000,50000,34992,15008,14988,35012,49980,50020,49950,50050,0.1,0.1,0.1
43,50000,50000,50000,50000,35000,15000,15025,34975,50025,49975,50063,49937,0.126,0.126,0.126
44,50000,50000,50000,50000,34915,15085,14821,35179,49736,50264,49340,50660,1.32,1.32,1.32
45,50000,50000,50000,50000,35046,14954,15003,34997,50049,49951,50123,49877,0.246,0.246,0.246
46,50000,50000,50000,50000,34999,15001,15013,34987,50012,49988,50030,49970,0.06,0.06,0.06
47,50000,50000,50000,50000,34976,15024,15105,34895,50081,49919,50203,49797,0.406,0.406,0.406
48,50000,50000,50000,50000,35009,14991,15056,34944,50065,49935,50163,49837,0.326,0.326,0.326
49,50000,50000,50000,50000,35106,14894,14914,35086,50020,49980,50050,49950,0.1,0.1,0.1
