sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,35070,14930,15041,34959,50111,49889,50278,49722,0.556,0.556,0.556
1,50000,50000,50000,50000,34829,15171,15096,34904,49925,50075,49813,50187,0.374,0.374,0.374
2,50000,50000,50000,50000,34974,15026,15024,34976,49998,50002,49995,50005,0.01,0.01,0.01
3,50000,50000,50000,50000,34925,15075,14887,35113,49812,50188,49530,50470,0.94,0.94,0.94
4,50000,50000,50000,50000,35136,14864,14946,35054,50082,49918,50205,49795,0.41,0.41,0.41
5,50000,50000,50000,50000,35067,14933,14996,35004,50063,49937,50158,49842,0.316,0.316,0.316
6,50000,50000,50000,50000,34881,15119,15226,34774,50107,49893,50268,49732,0.536,0.536,0.536
7,50000,50000,50000,50000,35189,14811,14989,35011,50178,49822,50445,49555,0.89,0.89,0.89
8,50000,50000,50000,50000,35002,14998,14975,35025,49977,50023,49943,50057,0.114,0.114,0.114
9,50000,50000,50000,50000,34812,15188,15149,34851,49961,50039,49903,50097,0.194,0.194,0.194
