sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,34671,15329,14919,35081,49590,50410,48975,51025,2.05,2.05,2.05
1,50000,50000,50000,50000,35095,14905,15056,34944,50151,49849,50378,49622,0.756,0.756,0.756
2,50000,50000,50000,50000,35060,14940,14919,35081,49979,50021,49948,50052,0.104,0.104,0.104
3,50000,50000,50000,50000,35053,14947,14881,35119,49934,50066,49835,50165,0.33,0.33,0.33
4,50000,50000,50000,50000,35063,14937,14979,35021,50042,49958,50105,49895,0.21,0.21,0.21
5,50000,50000,50000,50000,34927,15073,14930,35070,49857,50143,49643,50357,0.714,0.714,0.714
6,50000,50000,50000,50000,35129,14871,15133,34867,50262,49738,50655,49345,1.31,1.31,1.31
7,50000,50000,50000,50000,34909,15091,14966,35034,49875,50125,49688,50312,0.624,0.624,0.624
8,50000,50000,50000,50000,35111,14889,14912,35088,50023,49977,50058,49942,0.116,0.116,0.116
9,50000,50000,50000,50000,35127,14873,15014,34986,50141,49859,50353,49647,0.706,0.706,0.706
10,50000,50000,50000,50000,34968,15032,14919,35081,49887,50113,49718,50282,0.564,0.564,0.564
11,50000,50000,50000,50000,34997,15003,14951,35049,49948,50052,49870,50130,0.26,0.26,0.26
12,50000,50000,50000,50000,34959,15041,15110,34890,50069,49931,50173,49827,0.346,0.346,0.346
13,50000,50000,50000,50000,35004,14996,15054,34946,50058,49942,50145,49855,0.29,0.29,0.29
14,50000,50000,50000,50000,35019,14981,15063,34937,50082,49918,50205,49795,0.41,0.41,0.41
15,50000,50000,50000,50000,34942,15058,14949,35051,49891,50109,49728,50272,0.544,0.544,0.544
16,50000,50000,50000,50000,35016,14984,15057,34943,50073,49927,50183,49817,0.366,0.366,0.366
17,50000,50000,50000,50000,35114,14886,15242,34758,50356,49644,50890,49110,1.78,1.78,1.78
18,50000,50000,50000,50000,35080,14920,15109,34891,50189,49811,50473,49527,0.946,0.946,0.946
19,50000,50000,50000,50000,35170,14830,14998,35002,50168,49832,50420,49580,0.84,0.84,0.84
20,50000,50000,50000,50000,35061,14939,15220,34780,50281,49719,50703,49297,1.406,1.406,1.406
21,50000,50000,50000,50000,35119,14881,14928,35072,50047,49953,50118,49882,0.236,0.236,0.236
22,50000,50000,50000,50000,34927,15073,15086,34914,50013,49987,50033,49967,0.066,0.066,0.066
23,50000,50000,50000,50000,34920,15080,15002,34998,49922,50078,49805,50195,0.39,0.39,0.39
24,50000,50000,50000,50000,34806,15194,15090,34910,49896,50104,49740,50260,0.52,0.52,0.52
25,50000,50000,50000,50000,35038,14962,14915,35085,49953,50047,49883,50117,0.234,0.234,0.234
26,50000,50000,50000,50000,34986,15014,14993,35007,49979,50021,49948,50052,0.104,0.104,0.104
27,50000,50000,50000,50000,34980,15020,14892,35108,49872,50128,49680,50320,0.64,0.64,0.64
28,50000,50000,50000,50000,35073,14927,14957,35043,50030,49970,50075,49925,0.15,0.15,0.15
29,50000,50000,50000,50000,35162,14838,14939,35061,50101,49899,50253,49747,0.506,0.506,0.506
30,50000,50000,50000,50000,35027,14973,15013,34987,50040,49960,50100,49900,0.2,0.2,0.2
31,50000,50000,50000,50000,35051,14949,15087,34913,50138,49862,50345,49655,0.69,0.69,0.69
32,50000,50000,50000,50000,35067,14933,15156,34844,50223,49777,50558,49442,1.116,1.116,1.116
33,50000,50000,50000,50000,35006,14994,15109,34891,50115,49885,50288,49712,0.576,0.576,0.576
34,50000,50000,50000,50000,35041,14959,15098,34902,50139,49861,50348,49652,0.696,0.696,0.696
35,50000,50000,50000,50000,35084,14916,15012,34988,50096,49904,50240,49760,0.48,0.48,0.48
36,50000,50000,50000,50000,34944,15056,15143,34857,50087,49913,50218,49782,0.436,0.436,0.436
37,50000,50000,50000,50000,35052,14948,15072,34928,50124,49876,50310,49690,0.62,0.62,0.62
38,50000,50000,50000,50000,34937,15063,15105,34895,50042,49958,50105,49895,0.21,0.21,0.21
39,50000,50000,50000,50000,34955,15045,15083,34917,50038,49962,50095,49905,0.19,0.19,0.19
40,50000,50000,50000,50000,35110,14890,15008,34992,50118,49882,50295,49705,0.59,0.59,0.59
41,50000,50000,50000,50000,35006,14994,15057,34943,50063,49937,50158,49842,0.316,0.316,0.316
42,50000,50000,50000,50000,34951,15049,15192,34808,50143,49857,50358,49642,0.716,0.716,0.716
43,50000,50000,50000,50000,35067,14933,14842,35158,49909,50091,49773,50227,0.454,0.454,0.454
44,50000,50000,50000,50000,34983,15017,14869,35131,49852,50148,49630,50370,0.74,0.74,0.74
45,50000,50000,50000,50000,34995,15005,14962,35038,49957,50043,49893,50107,0.214,0.214,0.214
46,50000,50000,50000,50000,35026,14974,14974,35026,50000,50000,50000,50000,0.0,0.0,0.0
47,50000,50000,50000,50000,34984,15016,14987,35013,49971,50029,49928,50072,0.144,0.144,0.144
48,50000,50000,50000,50000,34959,15041,14796,35204,49755,50245,49388,50612,1.224,1.224,1.224
49,50000,50000,50000,50000,35027,14973,15069,34931,50096,49904,50240,49760,0.48,0.48,0.48
50,50000,50000,50000,50000,35230,14770,15119,34881,50349,49651,50873,49127,1.746,1.746,1.746
51,50000,50000,50000,50000,34862,15138,15023,34977,49885,50115,49713,50287,0.574,0.574,0.574
52,50000,50000,50000,50000,34933,15067,15005,34995,49938,50062,49845,50155,0.31,0.31,0.31
53,50000,50000,50000,50000,34939,15061,15024,34976,49963,50037,49908,50092,0.184,0.184,0.184
54,50000,50000,50000,50000,35017,14983,14837,35163,49854,50146,49635,50365,0.73,0.73,0.73
55,50000,50000,50000,50000,34832,15168,15021,34979,49853,50147,49633,50367,0.734,0.734,0.734
56,50000,50000,50000,50000,34961,15039,15036,34964,49997,50003,49993,50007,0.014,0.014,0.014
57,50000,50000,50000,50000,35067,14933,15052,34948,50119,49881,50298,49702,0.596,0.596,0.596
58,50000,50000,50000,50000,34989,15011,15111,34889,50100,49900,50250,49750,0.5,0.5,0.5
59,50000,50000,50000,50000,35082,14918,15035,34965,50117,49883,50293,49707,0.586,0.586,0.586
60,50000,50000,50000,50000,35179,14821,14993,35007,50172,49828,50430,49570,0.86,0.86,0.86
61,50000,50000,50000,50000,35041,14959,15131,34869,50172,49828,50430,49570,0.86,0.86,0.86
62,50000,50000,50000,50000,35030,14970,15042,34958,50072,49928,50180,49820,0.36,0.36,0.36
63,50000,50000,50000,50000,35237,14763,14787,35213,50024,49976,50060,49940,0.12,0.12,0.12
64,50000,50000,50000,50000,35057,14943,15044,34956,50101,49899,50253,49747,0.506,0.506,0.506
65,50000,50000,50000,50000,34960,15040,15013,34987,49973,50027,49933,50067,0.134,0.134,0.134
66,50000,50000,50000,50000,34896,15104,15105,34895,50001,49999,50003,49997,0.006,0.006,0.006
67,50000,50000,50000,50000,35105,14895,14857,35143,49962,50038,49905,50095,0.19,0.19,0.19
68,50000,50000,50000,50000,34891,15109,15008,34992,49899,50101,49748,50252,0.504,0.504,0.504
69,50000,50000,50000,50000,35082,14918,14932,35068,50014,49986,50035,49965,0.07,0.07,0.07
70,50000,50000,50000,50000,35138,14862,14943,35057,50081,49919,50203,49797,0.406,0.406,0.406
71,50000,50000,50000,50000,35040,14960,15182,34818,50222,49778,50555,49445,1.11,1.11,1.11
72,50000,50000,50000,50000,35055,14945,14933,35067,49988,50012,49970,50030,0.06,0.06,0.06
73,50000,50000,50000,50000,35118,14882,15049,34951,50167,49833,50418,49582,0.836,0.836,0.836
74,50000,50000,50000,50000,34830,15170,15118,34882,49948,50052,49870,50130,0.26,0.26,0.26
75,50000,50000,50000,50000,34826,15174,15018,34982,49844,50156,49610,50390,0.78,0.78,0.78
76,50000,50000,50000,50000,35160,14840,15032,34968,50192,49808,50480,49520,0.96,0.96,0.96
77,50000,50000,50000,50000,34984,15016,14940,35060,49924,50076,49810,50190,0.38,0.38,0.38
78,50000,50000,50000,50000,35065,14935,14936,35064,50001,49999,50003,49997,0.006,0.006,0.006
79,50000,50000,50000,50000,34966,15034,15003,34997,49969,50031,49923,50077,0.154,0.154,0.154
80,50000,50000,50000,50000,35148,14852,15110,34890,50258,49742,50645,49355,1.29,1.29,1.29
81,50000,50000,50000,50000,34973,15027,14975,35025,49948,50052,49870,50130,0.26,0.26,0.26
82,50000,50000,50000,50000,35079,14921,15073,34927,50152,49848,50380,49620,0.76,0.76,0.76
83,50000,50000,50000,50000,35063,14937,14932,35068,49995,50005,49988,50012,0.024,0.024,0.024
84,50000,50000,50000,50000,34934,15066,15051,34949,49985,50015,49963,50037,0.074,0.074,0.074
85,50000,50000,50000,50000,34929,15071,14867,35133,49796,50204,49490,50510,1.02,1.02,1.02
86,50000,50000,50000,50000,35047,14953,14872,35128,49919,50081,49798,50202,0.404,0.404,0.404
87,50000,50000,50000,50000,35029,14971,14968,35032,49997,50003,49993,50007,0.014,0.014,0.014
88,50000,50000,50000,50000,34919,15081,14843,35157,49762,50238,49405,50595,1.19,1.19,1.19
89,50000,50000,50000,50000,35043,14957,14867,35133,49910,50090,49775,50225,0.45,0.45,0.45
90,50000,50000,50000,50000,35104,14896,14970,35030,50074,49926,50185,49815,0.37,0.37,0.37
91,50000,50000,50000,50000,34876,15124,14902,35098,49778,50222,49445,50555,1.11,1.11,1.11
92,50000,50000,50000,50000,35054,14946,15115,34885,50169,49831,50423,49577,0.846,0.846,0.846
93,50000,50000,50000,50000,35064,14936,15042,34958,50106,49894,50265,49735,0.53,0.53,0.53
94,50000,50000,50000,50000,34987,15013,15124,34876,50111,49889,50278,49722,0.556,0.556,0.556
95,50000,50000,50000,50000,34840,15160,14858,35142,49698,50302,49245,50755,1.51,1.51,1.51
96,50000,50000,50000,50000,35092,14908,15170,34830,50262,49738,50655,49345,1.31,1.31,1.31
97,50000,50000,50000,50000,35003,14997,14974,35026,49977,50023,49943,50057,0.114,0.114,0.114
98,50000,50000,50000,50000,34910,15090,14839,35161,49749,50251,49373,50627,1.254,1.254,1.254
99,50000,50000,50000,50000,35105,14895,14931,35069,50036,49964,50090,49910,0.18,0.18,0.18
