sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,35050,14950,15172,34828,50222,49778,50555,49445,1.11,1.11,1.11
1,50000,50000,50000,50000,34904,15096,14866,35134,49770,50230,49425,50575,1.15,1.15,1.15
2,50000,50000,50000,50000,35039,14961,15172,34828,50211,49789,50528,49472,1.056,1.056,1.056
3,50000,50000,50000,50000,35068,14932,15168,34832,50236,49764,50590,49410,1.18,1.18,1.18
4,50000,50000,50000,50000,35076,14924,14993,35007,50069,49931,50173,49827,0.346,0.346,0.346
