sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,35114,14886,14987,35013,50101,49899,50253,49747,0.506,0.506,0.506
1,50000,50000,50000,50000,34825,15175,14935,35065,49760,50240,49400,50600,1.2,1.2,1.2
2,50000,50000,50000,50000,34966,15034,15022,34978,49988,50012,49970,50030,0.06,0.06,0.06
3,50000,50000,50000,50000,34963,15037,15059,34941,50022,49978,50055,49945,0.11,0.11,0.11
4,50000,50000,50000,50000,34876,15124,14965,35035,49841,50159,49603,50397,0.794,0.794,0.794
5,50000,50000,50000,50000,35011,14989,15042,34958,50053,49947,50133,49867,0.266,0.266,0.266
6,50000,50000,50000,50000,35099,14901,14911,35089,50010,49990,50025,49975,0.05,0.05,0.05
7,50000,50000,50000,50000,35106,14894,15029,34971,50135,49865,50338,49662,0.676,0.676,0.676
8,50000,50000,50000,50000,34896,15104,14940,35060,49836,50164,49590,50410,0.82,0.82,0.82
9,50000,50000,50000,50000,35048,14952,15079,34921,50127,49873,50318,49682,0.636,0.636,0.636
10,50000,50000,50000,50000,34946,15054,14920,35080,49866,50134,49665,50335,0.67,0.67,0.67
11,50000,50000,50000,50000,35130,14870,15294,34706,50424,49576,51060,48940,2.12,2.12,2.12
12,50000,50000,50000,50000,34964,15036,15000,35000,49964,50036,49910,50090,0.18,0.18,0.18
13,50000,50000,50000,50000,34765,15235,15104,34896,49869,50131,49673,50327,0.654,0.654,0.654
14,50000,50000,50000,50000,34963,15037,14952,35048,49915,50085,49788,50212,0.424,0.424,0.424
15,50000,50000,50000,50000,35056,14944,15006,34994,50062,49938,50155,49845,0.31,0.31,0.31
16,50000,50000,50000,50000,35050,14950,14966,35034,50016,49984,50040,49960,0.08,0.08,0.08
17,50000,50000,50000,50000,35174,14826,14969,35031,50143,49857,50358,49642,0.716,0.716,0.716
18,50000,50000,50000,50000,34996,15004,14927,35073,49923,50077,49808,50192,0.384,0.384,0.384
19,50000,50000,50000,50000,34996,15004,15008,34992,50004,49996,50010,49990,0.02,0.02,0.02
20,50000,50000,50000,50000,35113,14887,15125,34875,50238,49762,50595,49405,1.19,1.19,1.19
21,50000,50000,50000,50000,34948,15052,14924,35076,49872,50128,49680,50320,0.64,0.64,0.64
22,50000,50000,50000,50000,35118,14882,15143,34857,50261,49739,50653,49347,1.306,1.306,1.306
23,50000,50000,50000,50000,34886,15114,14958,35042,49844,50156,49610,50390,0.78,0.78,0.78
24,50000,50000,50000,50000,34972,15028,15059,34941,50031,49969,50078,49922,0.156,0.156,0.156
25,50000,50000,50000,50000,34967,15033,14992,35008,49959,50041,49898,50102,0.204,0.204,0.204
26,50000,50000,50000,50000,34903,15097,15029,34971,49932,50068,49830,50170,0.34,0.34,0.34
27,50000,50000,50000,50000,34955,15045,15090,34910,50045,49955,50113,49887,0.226,0.226,0.226
28,50000,50000,50000,50000,34943,15057,14939,35061,49882,50118,49705,50295,0.59,0.59,0.59
29,50000,50000,50000,50000,35152,14848,14966,35034,50118,49882,50295,49705,0.59,0.59,0.59
30,50000,50000,50000,50000,34961,15039,14995,35005,49956,50044,49890,50110,0.22,0.22,0.22
31,50000,50000,50000,50000,35037,14963,14934,35066,49971,50029,49928,50072,0.144,0.144,0.144
32,50000,50000,50000,50000,34932,15068,14952,35048,49884,50116,49710,50290,0.58,0.58,0.58
33,50000,50000,50000,50000,34935,15065,15113,34887,50048,49952,50120,49880,0.24,0.24,0.24
34,50000,50000,50000,50000,34892,15108,14915,35085,49807,50193,49518,50482,0.964,0.964,0.964
35,50000,50000,50000,50000,34992,15008,14916,35084,49908,50092,49770,50230,0.46,0.46,0.46
36,50000,50000,50000,50000,34881,15119,14919,35081,49800,50200,49500,50500,1.0,1.0,1.0
37,50000,50000,50000,50000,35211,14789,14995,35005,50206,49794,50515,49485,1.03,1.03,1.03
38,50000,50000,50000,50000,35017,14983,15076,34924,50093,49907,50233,49767,0.466,0.466,0.466
39,50000,50000,50000,50000,35042,14958,14974,35026,50016,49984,50040,49960,0.08,0.08,0.08
40,50000,50000,50000,50000,34919,15081,14829,35171,49748,50252,49370,50630,1.26,1.26,1.26
41,50000,50000,50000,50000,35228,14772,15140,34860,50368,49632,50920,49080,1.84,1.84,1.84
42,50000,50000,50000,50000,34933,15067,14907,35093,49840,50160,49600,50400,0.8,0.8,0.8
43,50000,50000,50000,50000,35194,14806,15032,34968,50226,49774,50565,49435,1.13,1.13,1.13
44,50000,50000,50000,50000,35084,14916,14974,35026,50058,49942,50145,49855,0.29,0.29,0.29
45,50000,50000,50000,50000,34965,15035,14756,35244,49721,50279,49303,50697,1.394,1.394,1.394
46,50000,50000,50000,50000,34929,15071,15065,34935,49994,50006,49985,50015,0.03,0.03,0.03
47,50000,50000,50000,50000,34958,15042,14889,35111,49847,50153,49618,50382,0.764,0.764,0.764
48,50000,50000,50000,50000,35068,14932,14999,35001,50067,49933,50168,49832,0.336,0.336,0.336
49,50000,50000,50000,50000,35049,14951,15118,34882,50167,49833,50418,49582,0.836,0.836,0.836
50,50000,50000,50000,50000,35030,14970,14858,35142,49888,50112,49720,50280,0.56,0.56,0.56
51,50000,50000,50000,50000,35211,14789,14851,35149,50062,49938,50155,49845,0.31,0.31,0.31
52,50000,50000,50000,50000,34925,15075,15124,34876,50049,49951,50123,49877,0.246,0.246,0.246
53,50000,50000,50000,50000,34853,15147,14955,35045,49808,50192,49520,50480,0.96,0.96,0.96
54,50000,50000,50000,50000,35004,14996,14913,35087,49917,50083,49793,50207,0.414,0.414,0.414
55,50000,50000,50000,50000,35144,14856,14963,35037,50107,49893,50268,49732,0.536,0.536,0.536
56,50000,50000,50000,50000,35167,14833,15033,34967,50200,49800,50500,49500,1.0,1.0,1.0
57,50000,50000,50000,50000,35150,14850,14881,35119,50031,49969,50078,49922,0.156,0.156,0.156
58,50000,50000,50000,50000,34885,15115,14772,35228,49657,50343,49143,50857,1.714,1.714,1.714
59,50000,50000,50000,50000,35201,14799,14835,35165,50036,49964,50090,49910,0.18,0.18,0.18
60,50000,50000,50000,50000,35008,14992,15047,34953,50055,49945,50138,49862,0.276,0.276,0.276
61,50000,50000,50000,50000,34892,15108,15091,34909,49983,50017,49958,50042,0.084,0.084,0.084
62,50000,50000,50000,50000,34820,15180,15117,34883,49937,50063,49843,50157,0.314,0.314,0.314
63,50000,50000,50000,50000,34891,15109,15117,34883,50008,49992,50020,49980,0.04,0.04,0.04
64,50000,50000,50000,50000,35230,14770,15174,34826,50404,49596,51010,48990,2.02,2.02,2.02
65,50000,50000,50000,50000,35167,14833,15056,34944,50223,49777,50558,49442,1.116,1.116,1.116
66,50000,50000,50000,50000,35092,14908,14918,35082,50010,49990,50025,49975,0.05,0.05,0.05
67,50000,50000,50000,50000,35040,14960,14916,35084,49956,50044,49890,50110,0.22,0.22,0.22
68,50000,50000,50000,50000,34970,15030,14930,35070,49900,50100,49750,50250,0.5,0.5,0.5
69,50000,50000,50000,50000,34961,15039,15061,34939,50022,49978,50055,49945,0.11,0.11,0.11
70,50000,50000,50000,50000,34851,15149,15153,34847,50004,49996,50010,49990,0.02,0.02,0.02
71,50000,50000,50000,50000,35092,14908,14853,35147,49945,50055,49863,50137,0.274,0.274,0.274
72,50000,50000,50000,50000,34994,15006,14934,35066,49928,50072,49820,50180,0.36,0.36,0.36
73,50000,50000,50000,50000,34863,15137,15137,34863,50000,50000,50000,50000,0.0,0.0,0.0
74,50000,50000,50000,50000,34979,15021,15163,34837,50142,49858,50355,49645,0.71,0.71,0.71
75,50000,50000,50000,50000,35178,14822,14987,35013,50165,49835,50413,49587,0.826,0.826,0.826
76,50000,50000,50000,50000,35054,14946,15019,34981,50073,49927,50183,49817,0.366,0.366,0.366
77,50000,50000,50000,50000,35001,14999,14904,35096,49905,50095,49763,50237,0.474,0.474,0.474
78,50000,50000,50000,50000,35151,14849,15124,34876,50275,49725,50688,49312,1.376,1.376,1.376
79,50000,50000,50000,50000,34966,15034,15031,34969,49997,50003,49993,50007,0.014,0.014,0.014
80,50000,50000,50000,50000,35118,14882,14935,35065,50053,49947,50133,49867,0.266,0.266,0.266
81,50000,50000,50000,50000,35104,14896,14994,35006,50098,49902,50245,49755,0.49,0.49,0.49
82,50000,50000,50000,50000,34887,15113,14907,35093,49794,50206,49485,50515,1.03,1.03,1.03
83,50000,50000,50000,50000,35090,14910,15098,34902,50188,49812,50470,49530,0.94,0.94,0.94
84,50000,50000,50000,50000,34939,15061,15011,34989,49950,50050,49875,50125,0.25,0.25,0.25
85,50000,50000,50000,50000,34870,15130,14977,35023,49847,50153,49618,50382,0.764,0.764,0.764
86,50000,50000,50000,50000,34839,15161,14964,35036,49803,50197,49508,50492,0.984,0.984,0.984
87,50000,50000,50000,50000,35023,14977,14754,35246,49777,50223,49443,50557,1.114,1.114,1.114
88,50000,50000,50000,50000,35039,14961,14911,35089,49950,50050,49875,50125,0.25,0.25,0.25
89,50000,50000,50000,50000,35111,14889,15029,34971,50140,49860,50350,49650,0.7,0.7,0.7
90,50000,50000,50000,50000,34930,15070,14923,35077,49853,50147,49633,50367,0.734,0.734,0.734
91,50000,50000,50000,50000,35015,14985,14987,35013,50002,49998,50005,49995,0.01,0.01,0.01
92,50000,50000,50000,50000,35017,14983,14891,35109,49908,50092,49770,50230,0.46,0.46,0.46
93,50000,50000,50000,50000,34996,15004,15136,34864,50132,49868,50330,49670,0.66,0.66,0.66
94,50000,50000,50000,50000,35011,14989,15198,34802,50209,49791,50523,49477,1.046,1.046,1.046
95,50000,50000,50000,50000,35019,14981,14984,35016,50003,49997,50008,49992,0.016,0.016,0.016
96,50000,50000,50000,50000,35106,14894,14871,35129,49977,50023,49943,50057,0.114,0.114,0.114
97,50000,50000,50000,50000,34943,15057,15125,34875,50068,49932,50170,49830,0.34,0.34,0.34
98,50000,50000,50000,50000,34905,15095,14930,35070,49835,50165,49588,50412,0.824,0.824,0.824
99,50000,50000,50000,50000,34944,15056,15038,34962,49982,50018,49955,50045,0.09,0.09,0.09
