sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,34966,15034,14680,35320,49646,50354,49115,50885,1.77,1.77,1.77
1,50000,50000,50000,50000,35079,14921,15013,34987,50092,49908,50230,49770,0.46,0.46,0.46
2,50000,50000,50000,50000,35156,14844,14943,35057,50099,49901,50248,49752,0.496,0.496,0.496
3,50000,50000,50000,50000,35006,14994,14920,35080,49926,50074,49815,50185,0.37,0.37,0.37
4,50000,50000,50000,50000,35083,14917,14989,35011,50072,49928,50180,49820,0.36,0.36,0.36
5,50000,50000,50000,50000,35049,14951,15255,34745,50304,49696,50760,49240,1.52,1.52,1.52
6,50000,50000,50000,50000,35179,14821,15076,34924,50255,49745,50638,49362,1.276,1.276,1.276
7,50000,50000,50000,50000,35003,14997,14949,35051,49952,50048,49880,50120,0.24,0.24,0.24
8,50000,50000,50000,50000,35084,14916,15033,34967,50117,49883,50293,49707,0.586,0.586,0.586
9,50000,50000,50000,50000,35193,14807,14947,35053,50140,49860,50350,49650,0.7,0.7,0.7
