sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,35043,14957,15109,34891,50152,49848,50380,49620,0.76,0.76,0.76
1,50000,50000,50000,50000,35070,14930,15089,34911,50159,49841,50398,49602,0.796,0.796,0.796
2,50000,50000,50000,50000,35048,14952,15065,34935,50113,49887,50283,49717,0.566,0.566,0.566
3,50000,50000,50000,50000,34958,15042,14993,35007,49951,50049,49878,50122,0.244,0.244,0.244
4,50000,50000,50000,50000,34848,15152,14948,35052,49796,50204,49490,50510,1.02,1.02,1.02
5,50000,50000,50000,50000,34937,15063,15026,34974,49963,50037,49908,50092,0.184,0.184,0.184
6,50000,50000,50000,50000,35066,14934,14869,35131,49935,50065,49838,50162,0.324,0.324,0.324
7,50000,50000,50000,50000,35048,14952,15011,34989,50059,49941,50148,49852,0.296,0.296,0.296
8,50000,50000,50000,50000,34934,15066,14910,35090,49844,50156,49610,50390,0.78,0.78,0.78
9,50000,50000,50000,50000,35149,14851,15014,34986,50163,49837,50408,49592,0.816,0.816,0.816
