sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,34946,15054,15073,34927,50019,49981,50048,49952,0.096,0.096,0.096
1,50000,50000,50000,50000,34889,15111,15175,34825,50064,49936,50160,49840,0.32,0.32,0.32
2,50000,50000,50000,50000,34759,15241,14782,35218,49541,50459,48853,51147,2.294,2.294,2.294
3,50000,50000,50000,50000,35065,14935,14893,35107,49958,50042,49895,50105,0.21,0.21,0.21
4,50000,50000,50000,50000,34901,15099,14944,35056,49845,50155,49613,50387,0.774,0.774,0.774
