sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,34838,15162,15115,34885,49953,50047,49883,50117,0.234,0.234,0.234
1,50000,50000,50000,50000,34987,15013,14936,35064,49923,50077,49808,50192,0.384,0.384,0.384
2,50000,50000,50000,50000,35026,14974,15095,34905,50121,49879,50303,49697,0.606,0.606,0.606
3,50000,50000,50000,50000,34901,15099,14872,35128,49773,50227,49433,50567,1.134,1.134,1.134
4,50000,50000,50000,50000,35085,14915,15021,34979,50106,49894,50265,49735,0.53,0.53,0.53
5,50000,50000,50000,50000,34889,15111,15064,34936,49953,50047,49883,50117,0.234,0.234,0.234
6,50000,50000,50000,50000,34900,15100,15141,34859,50041,49959,50103,49897,0.206,0.206,0.206
7,50000,50000,50000,50000,34929,15071,15129,34871,50058,49942,50145,49855,0.29,0.29,0.29
8,50000,50000,50000,50000,35075,14925,14933,35067,50008,49992,50020,49980,0.04,0.04,0.04
9,50000,50000,50000,50000,34816,15184,14940,35060,49756,50244,49390,50610,1.22,1.22,1.22
