sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,35016,14984,15065,34935,50081,49919,50203,49797,0.406,0.406,0.406
1,50000,50000,50000,50000,35019,14981,14892,35108,49911,50089,49778,50222,0.444,0.444,0.444
2,50000,50000,50000,50000,35101,14899,14951,35049,50052,49948,50130,49870,0.26,0.26,0.26
3,50000,50000,50000,50000,34794,15206,14985,35015,49779,50221,49448,50552,1.104,1.104,1.104
4,50000,50000,50000,50000,34838,15162,15032,34968,49870,50130,49675,50325,0.65,0.65,0.65
