sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,34873,15127,14928,35072,49801,50199,49503,50497,0.994,0.994,0.994
1,50000,50000,50000,50000,34886,15114,15098,34902,49984,50016,49960,50040,0.08,0.08,0.08
2,50000,50000,50000,50000,35162,14838,15006,34994,50168,49832,50420,49580,0.84,0.84,0.84
3,50000,50000,50000,50000,35017,14983,15020,34980,50037,49963,50093,49907,0.186,0.186,0.186
4,50000,50000,50000,50000,34954,15046,15081,34919,50035,49965,50088,49912,0.176,0.176,0.176
5,50000,50000,50000,50000,34940,15060,14902,35098,49842,50158,49605,50395,0.79,0.79,0.79
6,50000,50000,50000,50000,34989,15011,14786,35214,49775,50225,49438,50562,1.124,1.124,1.124
7,50000,50000,50000,50000,34930,15070,15124,34876,50054,49946,50135,49865,0.27,0.27,0.27
8,50000,50000,50000,50000,34904,15096,14945,35055,49849,50151,49623,50377,0.754,0.754,0.754
9,50000,50000,50000,50000,34976,15024,14980,35020,49956,50044,49890,50110,0.22,0.22,0.22
10,50000,50000,50000,50000,35230,14770,15157,34843,50387,49613,50968,49032,1.936,1.936,1.936
11,50000,50000,50000,50000,35086,14914,14939,35061,50025,49975,50063,49937,0.126,0.126,0.126
12,50000,50000,50000,50000,35105,14895,14873,35127,49978,50022,49945,50055,0.11,0.11,0.11
13,50000,50000,50000,50000,35040,14960,15156,34844,50196,49804,50490,49510,0.98,0.98,0.98
14,50000,50000,50000,50000,35113,14887,15026,34974,50139,49861,50348,49652,0.696,0.696,0.696
15,50000,50000,50000,50000,34958,15042,14964,35036,49922,50078,49805,50195,0.39,0.39,0.39
16,50000,50000,50000,50000,35016,14984,15010,34990,50026,49974,50065,49935,0.13,0.13,0.13
17,50000,50000,50000,50000,35150,14850,14784,35216,49934,50066,49835,50165,0.33,0.33,0.33
18,50000,50000,50000,50000,35038,14962,14956,35044,49994,50006,49985,50015,0.03,0.03,0.03
19,50000,50000,50000,50000,34958,15042,14957,35043,49915,50085,49788,50212,0.424,0.424,0.424
20,50000,50000,50000,50000,34878,15122,14918,35082,49796,50204,49490,50510,1.02,1.02,1.02
21,50000,50000,50000,50000,35122,14878,14889,35111,50011,49989,50028,49972,0.056,0.056,0.056
22,50000,50000,50000,50000,34910,15090,15033,34967,49943,50057,49858,50142,0.284,0.284,0.284
23,50000,50000,50000,50000,34848,15152,15069,34931,49917,50083,49793,50207,0.414,0.414,0.414
24,50000,50000,50000,50000,35206,14794,15004,34996,50210,49790,50525,49475,1.05,1.05,1.05
25,50000,50000,50000,50000,35096,14904,14964,35036,50060,49940,50150,49850,0.3,0.3,0.3
26,50000,50000,50000,50000,34978,15022,15029,34971,50007,49993,50018,49982,0.036,0.036,0.036
27,50000,50000,50000,50000,34994,15006,14913,35087,49907,50093,49768,50232,0.464,0.464,0.464
28,50000,50000,50000,50000,34923,15077,15025,34975,49948,50052,49870,50130,0.26,0.26,0.26
29,50000,50000,50000,50000,34924,15076,15041,34959,49965,50035,49913,50087,0.174,0.174,0.174
30,50000,50000,50000,50000,34981,15019,14973,35027,49954,50046,49885,50115,0.23,0.23,0.23
31,50000,50000,50000,50000,34976,15024,14902,35098,49878,50122,49695,50305,0.61,0.61,0.61
32,50000,50000,50000,50000,34956,15044,15095,34905,50051,49949,50128,49872,0.256,0.256,0.256
33,50000,50000,50000,50000,35056,14944,15051,34949,50107,49893,50268,49732,0.536,0.536,0.536
34,50000,50000,50000,50000,34937,15063,15070,34930,50007,49993,50018,49982,0.036,0.036,0.036
35,50000,50000,50000,50000,34955,15045,15011,34989,49966,50034,49915,50085,0.17,0.17,0.17
36,50000,50000,50000,50000,35072,14928,15029,34971,50101,49899,50253,49747,0.506,0.506,0.506
37,50000,50000,50000,50000,34941,15059,15036,34964,49977,50023,49943,50057,0.114,0.114,0.114
38,50000,50000,50000,50000,34830,15170,15286,34714,50116,49884,50290,49710,0.58,0.58,0.58
