sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,34945,15055,15097,34903,50042,49958,50105,49895,0.21,0.21,0.21
1,50000,50000,50000,50000,35097,14903,14917,35083,50014,49986,50035,49965,0.07,0.07,0.07
2,50000,50000,50000,50000,35059,14941,14808,35192,49867,50133,49668,50332,0.664,0.664,0.664
3,50000,50000,50000,50000,35100,14900,15022,34978,50122,49878,50305,49695,0.61,0.61,0.61
4,50000,50000,50000,50000,34787,15213,15032,34968,49819,50181,49548,50452,0.904,0.904,0.904
