sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,34947,15053,14990,35010,49937,50063,49843,50157,0.314,0.314,0.314
1,50000,50000,50000,50000,34946,15054,14864,35136,49810,50190,49525,50475,0.95,0.95,0.95
2,50000,50000,50000,50000,34929,15071,15040,34960,49969,50031,49923,50077,0.154,0.154,0.154
3,50000,50000,50000,50000,34963,15037,15241,34759,50204,49796,50510,49490,1.02,1.02,1.02
4,50000,50000,50000,50000,35012,14988,15078,34922,50090,49910,50225,49775,0.45,0.45,0.45
5,50000,50000,50000,50000,34842,15158,15070,34930,49912,50088,49780,50220,0.44,0.44,0.44
6,50000,50000,50000,50000,35042,14958,15008,34992,50050,49950,50125,49875,0.25,0.25,0.25
7,50000,50000,50000,50000,34955,15045,15014,34986,49969,50031,49923,50077,0.154,0.154,0.154
8,50000,50000,50000,50000,35064,14936,15084,34916,50148,49852,50370,49630,0.74,0.74,0.74
9,50000,50000,50000,50000,34855,15145,15066,34934,49921,50079,49803,50197,0.394,0.394,0.394
