sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,34914,15086,14874,35126,49788,50212,49470,50530,1.06,1.06,1.06
1,50000,50000,50000,50000,34988,15012,15018,34982,50006,49994,50015,49985,0.03,0.03,0.03
2,50000,50000,50000,50000,35019,14981,15018,34982,50037,49963,50093,49907,0.186,0.186,0.186
3,50000,50000,50000,50000,34973,15027,14970,35030,49943,50057,49858,50142,0.284,0.284,0.284
4,50000,50000,50000,50000,34880,15120,14950,35050,49830,50170,49575,50425,0.85,0.85,0.85
5,50000,50000,50000,50000,34919,15081,14821,35179,49740,50260,49350,50650,1.3,1.3,1.3
6,50000,50000,50000,50000,35010,14990,14977,35023,49987,50013,49968,50032,0.064,0.064,0.064
7,50000,50000,50000,50000,34851,15149,14969,35031,49820,50180,49550,50450,0.9,0.9,0.9
8,50000,50000,50000,50000,35020,14980,15076,34924,50096,49904,50240,49760,0.48,0.48,0.48
9,50000,50000,50000,50000,34958,15042,15053,34947,50011,49989,50028,49972,0.056,0.056,0.056
10,50000,50000,50000,50000,35036,14964,14916,35084,49952,50048,49880,50120,0.24,0.24,0.24
11,50000,50000,50000,50000,34901,15099,15094,34906,49995,50005,49988,50012,0.024,0.024,0.024
12,50000,50000,50000,50000,35150,14850,15088,34912,50238,49762,50595,49405,1.19,1.19,1.19
13,50000,50000,50000,50000,34969,15031,14730,35270,49699,50301,49248,50752,1.504,1.504,1.504
14,50000,50000,50000,50000,35143,14857,14990,35010,50133,49867,50333,49667,0.666,0.666,0.666
15,50000,50000,50000,50000,35127,14873,15084,34916,50211,49789,50528,49472,1.056,1.056,1.056
16,50000,50000,50000,50000,34931,15069,15129,34871,50060,49940,50150,49850,0.3,0.3,0.3
17,50000,50000,50000,50000,34848,15152,15042,34958,49890,50110,49725,50275,0.55,0.55,0.55
18,50000,50000,50000,50000,35171,14829,14909,35091,50080,49920,50200,49800,0.4,0.4,0.4
19,50000,50000,50000,50000,34983,15017,15076,34924,50059,49941,50148,49852,0.296,0.296,0.296
20,50000,50000,50000,50000,34956,15044,14901,35099,49857,50143,49643,50357,0.714,0.714,0.714
21,50000,50000,50000,50000,34871,15129,15012,34988,49883,50117,49708,50292,0.584,0.584,0.584
22,50000,50000,50000,50000,34991,15009,14964,35036,49955,50045,49888,50112,0.224,0.224,0.224
23,50000,50000,50000,50000,34964,15036,15019,34981,49983,50017,49958,50042,0.084,0.084,0.084
24,50000,50000,50000,50000,35043,14957,15017,34983,50060,49940,50150,49850,0.3,0.3,0.3
25,50000,50000,50000,50000,34892,15108,15023,34977,49915,50085,49788,50212,0.424,0.424,0.424
26,50000,50000,50000,50000,34961,15039,15025,34975,49986,50014,49965,50035,0.07,0.07,0.07
27,50000,50000,50000,50000,34914,15086,14903,35097,49817,50183,49543,50457,0.914,0.914,0.914
28,50000,50000,50000,50000,35232,14768,15035,34965,50267,49733,50668,49332,1.336,1.336,1.336
29,50000,50000,50000,50000,35031,14969,14973,35027,50004,49996,50010,49990,0.02,0.02,0.02
30,50000,50000,50000,50000,35242,14758,15004,34996,50246,49754,50615,49385,1.23,1.23,1.23
31,50000,50000,50000,50000,35129,14871,15096,34904,50225,49775,50563,49437,1.126,1.126,1.126
32,50000,50000,50000,50000,34993,15007,15001,34999,49994,50006,49985,50015,0.03,0.03,0.03
33,50000,50000,50000,50000,35114,14886,14941,35059,50055,49945,50138,49862,0.276,0.276,0.276
34,50000,50000,50000,50000,35042,14958,15203,34797,50245,49755,50613,49387,1.226,1.226,1.226
35,50000,50000,50000,50000,34824,15176,15079,34921,49903,50097,49758,50242,0.484,0.484,0.484
36,50000,50000,50000,50000,34893,15107,14947,35053,49840,50160,49600,50400,0.8,0.8,0.8
37,50000,50000,50000,50000,35101,14899,14964,35036,50065,49935,50163,49837,0.326,0.326,0.326
38,50000,50000,50000,50000,35141,14859,15054,34946,50195,49805,50488,49512,0.976,0.976,0.976
39,50000,50000,50000,50000,34959,15041,14899,35101,49858,50142,49645,50355,0.71,0.71,0.71
40,50000,50000,50000,50000,34961,15039,14831,35169,49792,50208,49480,50520,1.04,1.04,1.04
41,50000,50000,50000,50000,35024,14976,14714,35286,49738,50262,49345,50655,1.31,1.31,1.31
42,50000,50000,50000,50000,34998,15002,15113,34887,50111,49889,50278,49722,0.556,0.556,0.556
43,50000,50000,50000,50000,35082,14918,15029,34971,50111,49889,50278,49722,0.556,0.556,0.556
44,50000,50000,50000,50000,34931,15069,14996,35004,49927,50073,49818,50182,0.364,0.364,0.364
45,50000,50000,50000,50000,34946,15054,15016,34984,49962,50038,49905,50095,0.19,0.19,0.19
46,50000,50000,50000,50000,35022,14978,15106,34894,50128,49872,50320,49680,0.64,0.64,0.64
47,50000,50000,50000,50000,35134,14866,15004,34996,50138,49862,50345,49655,0.69,0.69,0.69
48,50000,50000,50000,50000,34970,15030,15056,34944,50026,49974,50065,49935,0.13,0.13,0.13
49,50000,50000,50000,50000,35039,14961,14893,35107,49932,50068,49830,50170,0.34,0.34,0.34
