sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,34995,15005,14966,35034,49961,50039,49903,50097,0.194,0.194,0.194
1,50000,50000,50000,50000,34918,15082,14932,35068,49850,50150,49625,50375,0.75,0.75,0.75
2,50000,50000,50000,50000,34950,15050,14936,35064,49886,50114,49715,50285,0.57,0.57,0.57
3,50000,50000,50000,50000,35117,14883,15029,34971,50146,49854,50365,49635,0.73,0.73,0.73
4,50000,50000,50000,50000,35006,14994,15089,34911,50095,49905,50238,49762,0.476,0.476,0.476
5,50000,50000,50000,50000,34950,15050,14959,35041,49909,50091,49773,50227,0.454,0.454,0.454
6,50000,50000,50000,50000,35096,14904,14987,35013,50083,49917,50208,49792,0.416,0.416,0.416
7,50000,50000,50000,50000,35053,14947,14924,35076,49977,50023,49943,50057,0.114,0.114,0.114
8,50000,50000,50000,50000,35053,14947,15150,34850,50203,49797,50508,49492,1.016,1.016,1.016
9,50000,50000,50000,50000,34969,15031,15037,34963,50006,49994,50015,49985,0.03,0.03,0.03
10,50000,50000,50000,50000,34917,15083,14922,35078,49839,50161,49598,50402,0.804,0.804,0.804
11,50000,50000,50000,50000,35116,14884,15094,34906,50210,49790,50525,49475,1.05,1.05,1.05
12,50000,50000,50000,50000,34957,15043,15159,34841,50116,49884,50290,49710,0.58,0.58,0.58
13,50000,50000,50000,50000,34934,15066,14948,35052,49882,50118,49705,50295,0.59,0.59,0.59
14,50000,50000,50000,50000,35004,14996,14798,35202,49802,50198,49505,50495,0.99,0.99,0.99
15,50000,50000,50000,50000,35141,14859,15031,34969,50172,49828,50430,49570,0.86,0.86,0.86
16,50000,50000,50000,50000,34977,15023,15144,34856,50121,49879,50303,49697,0.606,0.606,0.606
17,50000,50000,50000,50000,34942,15058,15138,34862,50080,49920,50200,49800,0.4,0.4,0.4
18,50000,50000,50000,50000,34983,15017,14949,35051,49932,50068,49830,50170,0.34,0.34,0.34
19,50000,50000,50000,50000,34957,15043,15107,34893,50064,49936,50160,49840,0.32,0.32,0.32
20,50000,50000,50000,50000,35060,14940,15015,34985,50075,49925,50188,49812,0.376,0.376,0.376
21,50000,50000,50000,50000,34921,15079,15109,34891,50030,49970,50075,49925,0.15,0.15,0.15
22,50000,50000,50000,50000,34823,15177,14947,35053,49770,50230,49425,50575,1.15,1.15,1.15
23,50000,50000,50000,50000,35060,14940,15017,34983,50077,49923,50193,49807,0.386,0.386,0.386
24,50000,50000,50000,50000,35114,14886,14805,35195,49919,50081,49798,50202,0.404,0.404,0.404
25,50000,50000,50000,50000,35060,14940,14883,35117,49943,50057,49858,50142,0.284,0.284,0.284
26,50000,50000,50000,50000,35130,14870,15050,34950,50180,49820,50450,49550,0.9,0.9,0.9
27,50000,50000,50000,50000,35016,14984,15072,34928,50088,49912,50220,49780,0.44,0.44,0.44
28,50000,50000,50000,50000,35029,14971,15091,34909,50120,49880,50300,49700,0.6,0.6,0.6
29,50000,50000,50000,50000,35016,14984,14821,35179,49837,50163,49593,50407,0.814,0.814,0.814
30,50000,50000,50000,50000,34980,15020,14874,35126,49854,50146,49635,50365,0.73,0.73,0.73
31,50000,50000,50000,50000,35005,14995,15087,34913,50092,49908,50230,49770,0.46,0.46,0.46
32,50000,50000,50000,50000,34991,15009,14868,35132,49859,50141,49648,50352,0.704,0.704,0.704
33,50000,50000,50000,50000,34914,15086,15091,34909,50005,49995,50013,49987,0.026,0.026,0.026
34,50000,50000,50000,50000,35133,14867,15139,34861,50272,49728,50680,49320,1.36,1.36,1.36
35,50000,50000,50000,50000,34845,15155,14925,35075,49770,50230,49425,50575,1.15,1.15,1.15
36,50000,50000,50000,50000,34944,15056,14972,35028,49916,50084,49790,50210,0.42,0.42,0.42
37,50000,50000,50000,50000,34900,15100,15133,34867,50033,49967,50083,49917,0.166,0.166,0.166
38,50000,50000,50000,50000,35083,14917,15157,34843,50240,49760,50600,49400,1.2,1.2,1.2
39,50000,50000,50000,50000,35106,14894,15011,34989,50117,49883,50293,49707,0.586,0.586,0.586
40,50000,50000,50000,50000,35038,14962,14842,35158,49880,50120,49700,50300,0.6,0.6,0.6
41,50000,50000,50000,50000,34914,15086,15087,34913,50001,49999,50003,49997,0.006,0.006,0.006
42,50000,50000,50000,50000,34875,15125,15057,34943,49932,50068,49830,50170,0.34,0.34,0.34
43,50000,50000,50000,50000,35018,14982,15073,34927,50091,49909,50228,49772,0.456,0.456,0.456
44,50000,50000,50000,50000,34974,15026,15116,34884,50090,49910,50225,49775,0.45,0.45,0.45
45,50000,50000,50000,50000,35122,14878,15041,34959,50163,49837,50408,49592,0.816,0.816,0.816
46,50000,50000,50000,50000,34920,15080,14873,35127,49793,50207,49483,50517,1.034,1.034,1.034
47,50000,50000,50000,50000,34893,15107,15045,34955,49938,50062,49845,50155,0.31,0.31,0.31
48,50000,50000,50000,50000,35016,14984,14918,35082,49934,50066,49835,50165,0.33,0.33,0.33
49,50000,50000,50000,50000,34934,15066,14929,35071,49863,50137,49658,50342,0.684,0.684,0.684
