sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,34913,15087,14912,35088,49825,50175,49563,50437,0.874,0.874,0.874
1,50000,50000,50000,50000,35067,14933,15026,34974,50093,49907,50233,49767,0.466,0.466,0.466
2,50000,50000,50000,50000,35018,14982,14961,35039,49979,50021,49948,50052,0.104,0.104,0.104
3,50000,50000,50000,50000,34949,15051,15095,34905,50044,49956,50110,49890,0.22,0.22,0.22
4,50000,50000,50000,50000,35105,14895,15043,34957,50148,49852,50370,49630,0.74,0.74,0.74
5,50000,50000,50000,50000,35064,14936,14891,35109,49955,50045,49888,50112,0.224,0.224,0.224
6,50000,50000,50000,50000,34953,15047,14893,35107,49846,50154,49615,50385,0.77,0.77,0.77
7,50000,50000,50000,50000,34624,15376,15201,34799,49825,50175,49563,50437,0.874,0.874,0.874
8,50000,50000,50000,50000,35224,14776,15116,34884,50340,49660,50850,49150,1.7,1.7,1.7
9,50000,50000,50000,50000,34972,15028,15101,34899,50073,49927,50183,49817,0.366,0.366,0.366
