sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,34970,15030,14943,35057,49913,50087,49783,50217,0.434,0.434,0.434
1,50000,50000,50000,50000,34927,15073,15079,34921,50006,49994,50015,49985,0.03,0.03,0.03
2,50000,50000,50000,50000,34912,15088,14834,35166,49746,50254,49365,50635,1.27,1.27,1.27
3,50000,50000,50000,50000,34816,15184,15022,34978,49838,50162,49595,50405,0.81,0.81,0.81
4,50000,50000,50000,50000,35067,14933,15012,34988,50079,49921,50198,49802,0.396,0.396,0.396
5,50000,50000,50000,50000,34943,15057,14822,35178,49765,50235,49413,50587,1.174,1.174,1.174
6,50000,50000,50000,50000,34910,15090,15057,34943,49967,50033,49918,50082,0.164,0.164,0.164
7,50000,50000,50000,50000,34951,15049,14981,35019,49932,50068,49830,50170,0.34,0.34,0.34
8,50000,50000,50000,50000,35150,14850,14934,35066,50084,49916,50210,49790,0.42,0.42,0.42
9,50000,50000,50000,50000,34773,15227,14984,35016,49757,50243,49393,50607,1.214,1.214,1.214
10,50000,50000,50000,50000,35159,14841,14934,35066,50093,49907,50233,49767,0.466,0.466,0.466
11,50000,50000,50000,50000,35252,14748,14908,35092,50160,49840,50400,49600,0.8,0.8,0.8
12,50000,50000,50000,50000,34882,15118,14869,35131,49751,50249,49378,50622,1.244,1.244,1.244
13,50000,50000,50000,50000,35128,14872,15105,34895,50233,49767,50583,49417,1.166,1.166,1.166
14,50000,50000,50000,50000,34871,15129,14786,35214,49657,50343,49143,50857,1.714,1.714,1.714
15,50000,50000,50000,50000,34889,15111,15068,34932,49957,50043,49893,50107,0.214,0.214,0.214
16,50000,50000,50000,50000,35153,14847,14924,35076,50077,49923,50193,49807,0.386,0.386,0.386
17,50000,50000,50000,50000,34931,15069,15146,34854,50077,49923,50193,49807,0.386,0.386,0.386
18,50000,50000,50000,50000,35047,14953,14817,35183,49864,50136,49660,50340,0.68,0.68,0.68
19,50000,50000,50000,50000,34997,15003,15093,34907,50090,49910,50225,49775,0.45,0.45,0.45
20,50000,50000,50000,50000,34991,15009,15038,34962,50029,49971,50073,49927,0.146,0.146,0.146
21,50000,50000,50000,50000,34933,15067,14914,35086,49847,50153,49618,50382,0.764,0.764,0.764
22,50000,50000,50000,50000,34829,15171,14915,35085,49744,50256,49360,50640,1.28,1.28,1.28
23,50000,50000,50000,50000,35109,14891,15001,34999,50110,49890,50275,49725,0.55,0.55,0.55
24,50000,50000,50000,50000,35004,14996,14861,35139,49865,50135,49663,50337,0.674,0.674,0.674
25,50000,50000,50000,50000,34889,15111,15066,34934,49955,50045,49888,50112,0.224,0.224,0.224
26,50000,50000,50000,50000,35084,14916,15105,34895,50189,49811,50473,49527,0.946,0.946,0.946
27,50000,50000,50000,50000,34851,15149,14852,35148,49703,50297,49258,50742,1.484,1.484,1.484
28,50000,50000,50000,50000,34890,15110,15192,34808,50082,49918,50205,49795,0.41,0.41,0.41
29,50000,50000,50000,50000,35012,14988,15324,34676,50336,49664,50840,49160,1.68,1.68,1.68
30,50000,50000,50000,50000,35008,14992,15112,34888,50120,49880,50300,49700,0.6,0.6,0.6
31,50000,50000,50000,50000,34892,15108,15069,34931,49961,50039,49903,50097,0.194,0.194,0.194
32,50000,50000,50000,50000,34956,15044,15096,34904,50052,49948,50130,49870,0.26,0.26,0.26
33,50000,50000,50000,50000,34884,15116,15040,34960,49924,50076,49810,50190,0.38,0.38,0.38
34,50000,50000,50000,50000,34879,15121,14990,35010,49869,50131,49673,50327,0.654,0.654,0.654
35,50000,50000,50000,50000,35163,14837,14946,35054,50109,49891,50273,49727,0.546,0.546,0.546
36,50000,50000,50000,50000,34996,15004,14985,35015,49981,50019,49953,50047,0.094,0.094,0.094
37,50000,50000,50000,50000,34923,15077,15167,34833,50090,49910,50225,49775,0.45,0.45,0.45
38,50000,50000,50000,50000,34991,15009,14943,35057,49934,50066,49835,50165,0.33,0.33,0.33
39,50000,50000,50000,50000,35361,14639,14968,35032,50329,49671,50823,49177,1.646,1.646,1.646
40,50000,50000,50000,50000,35127,14873,15036,34964,50163,49837,50408,49592,0.816,0.816,0.816
41,50000,50000,50000,50000,34846,15154,15116,34884,49962,50038,49905,50095,0.19,0.19,0.19
42,50000,50000,50000,50000,35046,14954,14940,35060,49986,50014,49965,50035,0.07,0.07,0.07
43,50000,50000,50000,50000,34909,15091,15044,34956,49953,50047,49883,50117,0.234,0.234,0.234
44,50000,50000,50000,50000,34959,15041,15005,34995,49964,50036,49910,50090,0.18,0.18,0.18
45,50000,50000,50000,50000,34855,15145,15101,34899,49956,50044,49890,50110,0.22,0.22,0.22
46,50000,50000,50000,50000,35006,14994,14976,35024,49982,50018,49955,50045,0.09,0.09,0.09
47,50000,50000,50000,50000,34859,15141,15142,34858,50001,49999,50003,49997,0.006,0.006,0.006
48,50000,50000,50000,50000,34987,15013,14933,35067,49920,50080,49800,50200,0.4,0.4,0.4
49,50000,50000,50000,50000,35119,14881,14928,35072,50047,49953,50118,49882,0.236,0.236,0.236
