sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,34990,15010,15039,34961,50029,49971,50073,49927,0.146,0.146,0.146
1,50000,50000,50000,50000,35001,14999,14969,35031,49970,50030,49925,50075,0.15,0.15,0.15
2,50000,50000,50000,50000,34847,15153,15013,34987,49860,50140,49650,50350,0.7,0.7,0.7
3,50000,50000,50000,50000,34930,15070,14873,35127,49803,50197,49508,50492,0.984,0.984,0.984
4,50000,50000,50000,50000,35114,14886,15000,35000,50114,49886,50285,49715,0.57,0.57,0.57
5,50000,50000,50000,50000,35177,14823,14921,35079,50098,49902,50245,49755,0.49,0.49,0.49
6,50000,50000,50000,50000,34951,15049,15018,34982,49969,50031,49923,50077,0.154,0.154,0.154
7,50000,50000,50000,50000,34944,15056,15023,34977,49967,50033,49918,50082,0.164,0.164,0.164
8,50000,50000,50000,50000,35004,14996,15015,34985,50019,49981,50048,49952,0.096,0.096,0.096
9,50000,50000,50000,50000,35071,14929,15083,34917,50154,49846,50385,49615,0.77,0.77,0.77
10,50000,50000,50000,50000,35154,14846,14936,35064,50090,49910,50225,49775,0.45,0.45,0.45
11,50000,50000,50000,50000,34843,15157,14959,35041,49802,50198,49505,50495,0.99,0.99,0.99
12,50000,50000,50000,50000,35120,14880,14973,35027,50093,49907,50233,49767,0.466,0.466,0.466
13,50000,50000,50000,50000,35003,14997,15065,34935,50068,49932,50170,49830,0.34,0.34,0.34
14,50000,50000,50000,50000,34888,15112,14935,35065,49823,50177,49558,50442,0.884,0.884,0.884
15,50000,50000,50000,50000,35041,14959,15019,34981,50060,49940,50150,49850,0.3,0.3,0.3
16,50000,50000,50000,50000,34990,15010,14834,35166,49824,50176,49560,50440,0.88,0.88,0.88
17,50000,50000,50000,50000,35048,14952,15034,34966,50082,49918,50205,49795,0.41,0.41,0.41
18,50000,50000,50000,50000,35026,14974,14835,35165,49861,50139,49653,50347,0.694,0.694,0.694
19,50000,50000,50000,50000,35210,14790,14914,35086,50124,49876,50310,49690,0.62,0.62,0.62
20,50000,50000,50000,50000,35146,14854,15095,34905,50241,49759,50603,49397,1.206,1.206,1.206
21,50000,50000,50000,50000,34974,15026,14909,35091,49883,50117,49708,50292,0.584,0.584,0.584
22,50000,50000,50000,50000,35053,14947,15017,34983,50070,49930,50175,49825,0.35,0.35,0.35
23,50000,50000,50000,50000,35037,14963,15010,34990,50047,49953,50118,49882,0.236,0.236,0.236
24,50000,50000,50000,50000,35264,14736,14871,35129,50135,49865,50338,49662,0.676,0.676,0.676
25,50000,50000,50000,50000,34983,15017,14898,35102,49881,50119,49703,50297,0.594,0.594,0.594
26,50000,50000,50000,50000,35157,14843,15137,34863,50294,49706,50735,49265,1.47,1.47,1.47
27,50000,50000,50000,50000,35062,14938,14915,35085,49977,50023,49943,50057,0.114,0.114,0.114
28,50000,50000,50000,50000,35012,14988,15107,34893,50119,49881,50298,49702,0.596,0.596,0.596
29,50000,50000,50000,50000,34977,15023,14834,35166,49811,50189,49528,50472,0.944,0.944,0.944
30,50000,50000,50000,50000,35144,14856,15101,34899,50245,49755,50613,49387,1.226,1.226,1.226
31,50000,50000,50000,50000,34880,15120,14774,35226,49654,50346,49135,50865,1.73,1.73,1.73
32,50000,50000,50000,50000,35038,14962,14945,35055,49983,50017,49958,50042,0.084,0.084,0.084
33,50000,50000,50000,50000,34959,15041,14940,35060,49899,50101,49748,50252,0.504,0.504,0.504
34,50000,50000,50000,50000,35031,14969,14969,35031,50000,50000,50000,50000,0.0,0.0,0.0
35,50000,50000,50000,50000,35130,14870,15058,34942,50188,49812,50470,49530,0.94,0.94,0.94
36,50000,50000,50000,50000,34726,15274,14991,35009,49717,50283,49293,50707,1.414,1.414,1.414
37,50000,50000,50000,50000,34910,15090,15136,34864,50046,49954,50115,49885,0.23,0.23,0.23
38,50000,50000,50000,50000,35105,14895,14921,35079,50026,49974,50065,49935,0.13,0.13,0.13
39,50000,50000,50000,50000,35157,14843,14921,35079,50078,49922,50195,49805,0.39,0.39,0.39
40,50000,50000,50000,50000,35005,14995,15068,34932,50073,49927,50183,49817,0.366,0.366,0.366
41,50000,50000,50000,50000,34965,15035,15032,34968,49997,50003,49993,50007,0.014,0.014,0.014
42,50000,50000,50000,50000,34988,15012,14990,35010,49978,50022,49945,50055,0.11,0.11,0.11
43,50000,50000,50000,50000,35136,14864,15071,34929,50207,49793,50518,49482,1.036,1.036,1.036
44,50000,50000,50000,50000,34798,15202,14868,35132,49666,50334,49165,50835,1.67,1.67,1.67
