sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,35026,14974,14954,35046,49980,50020,49950,50050,0.1,0.1,0.1
1,50000,50000,50000,50000,34947,15053,15114,34886,50061,49939,50153,49847,0.306,0.306,0.306
2,50000,50000,50000,50000,35058,14942,15044,34956,50102,49898,50255,49745,0.51,0.51,0.51
3,50000,50000,50000,50000,34889,15111,15081,34919,49970,50030,49925,50075,0.15,0.15,0.15
4,50000,50000,50000,50000,35121,14879,14901,35099,50022,49978,50055,49945,0.11,0.11,0.11
5,50000,50000,50000,50000,35066,14934,14750,35250,49816,50184,49540,50460,0.92,0.92,0.92
6,50000,50000,50000,50000,35122,14878,15085,34915,50207,49793,50518,49482,1.036,1.036,1.036
7,50000,50000,50000,50000,34960,15040,14961,35039,49921,50079,49803,50197,0.394,0.394,0.394
8,50000,50000,50000,50000,35080,14920,14976,35024,50056,49944,50140,49860,0.28,0.28,0.28
9,50000,50000,50000,50000,35080,14920,14844,35156,49924,50076,49810,50190,0.38,0.38,0.38
10,50000,50000,50000,50000,34921,15079,15110,34890,50031,49969,50078,49922,0.156,0.156,0.156
11,50000,50000,50000,50000,35202,14798,14926,35074,50128,49872,50320,49680,0.64,0.64,0.64
12,50000,50000,50000,50000,34981,15019,14765,35235,49746,50254,49365,50635,1.27,1.27,1.27
13,50000,50000,50000,50000,35012,14988,15107,34893,50119,49881,50298,49702,0.596,0.596,0.596
14,50000,50000,50000,50000,34988,15012,14987,35013,49975,50025,49938,50062,0.124,0.124,0.124
15,50000,50000,50000,50000,34777,15223,14944,35056,49721,50279,49303,50697,1.394,1.394,1.394
16,50000,50000,50000,50000,35102,14898,15037,34963,50139,49861,50348,49652,0.696,0.696,0.696
17,50000,50000,50000,50000,34738,15262,14930,35070,49668,50332,49170,50830,1.66,1.66,1.66
18,50000,50000,50000,50000,35000,15000,15147,34853,50147,49853,50368,49632,0.736,0.736,0.736
19,50000,50000,50000,50000,34914,15086,14930,35070,49844,50156,49610,50390,0.78,0.78,0.78
20,50000,50000,50000,50000,35001,14999,15158,34842,50159,49841,50398,49602,0.796,0.796,0.796
21,50000,50000,50000,50000,35207,14793,14912,35088,50119,49881,50298,49702,0.596,0.596,0.596
22,50000,50000,50000,50000,35010,14990,14989,35011,49999,50001,49998,50002,0.004,0.004,0.004
23,50000,50000,50000,50000,35117,14883,14972,35028,50089,49911,50223,49777,0.446,0.446,0.446
24,50000,50000,50000,50000,35021,14979,14930,35070,49951,50049,49878,50122,0.244,0.244,0.244
25,50000,50000,50000,50000,35087,14913,15005,34995,50092,49908,50230,49770,0.46,0.46,0.46
26,50000,50000,50000,50000,34992,15008,14884,35116,49876,50124,49690,50310,0.62,0.62,0.62
27,50000,50000,50000,50000,35221,14779,14734,35266,49955,50045,49888,50112,0.224,0.224,0.224
28,50000,50000,50000,50000,35105,14895,15181,34819,50286,49714,50715,49285,1.43,1.43,1.43
29,50000,50000,50000,50000,35138,14862,15034,34966,50172,49828,50430,49570,0.86,0.86,0.86
30,50000,50000,50000,50000,35131,14869,14947,35053,50078,49922,50195,49805,0.39,0.39,0.39
31,50000,50000,50000,50000,35082,14918,15126,34874,50208,49792,50520,49480,1.04,1.04,1.04
32,50000,50000,50000,50000,35052,14948,15005,34995,50057,49943,50143,49857,0.286,0.286,0.286
33,50000,50000,50000,50000,35053,14947,15010,34990,50063,49937,50158,49842,0.316,0.316,0.316
34,50000,50000,50000,50000,34956,15044,15050,34950,50006,49994,50015,49985,0.03,0.03,0.03
35,50000,50000,50000,50000,34876,15124,14979,35021,49855,50145,49638,50362,0.724,0.724,0.724
36,50000,50000,50000,50000,35089,14911,15137,34863,50226,49774,50565,49435,1.13,1.13,1.13
37,50000,50000,50000,50000,34831,15169,14897,35103,49728,50272,49320,50680,1.36,1.36,1.36
38,50000,50000,50000,50000,35103,14897,14970,35030,50073,49927,50183,49817,0.366,0.366,0.366
39,50000,50000,50000,50000,35095,14905,15095,34905,50190,49810,50475,49525,0.95,0.95,0.95
40,50000,50000,50000,50000,34856,15144,15144,34856,50000,50000,50000,50000,0.0,0.0,0.0
41,50000,50000,50000,50000,35072,14928,14852,35148,49924,50076,49810,50190,0.38,0.38,0.38
42,50000,50000,50000,50000,34917,15083,15056,34944,49973,50027,49933,50067,0.134,0.134,0.134
43,50000,50000,50000,50000,34952,15048,15037,34963,49989,50011,49973,50027,0.054,0.054,0.054
44,50000,50000,50000,50000,35075,14925,15037,34963,50112,49888,50280,49720,0.56,0.56,0.56
45,50000,50000,50000,50000,34987,15013,15061,34939,50048,49952,50120,49880,0.24,0.24,0.24
46,50000,50000,50000,50000,35016,14984,14873,35127,49889,50111,49723,50277,0.554,0.554,0.554
47,50000,50000,50000,50000,34989,15011,14942,35058,49931,50069,49828,50172,0.344,0.344,0.344
48,50000,50000,50000,50000,35022,14978,15009,34991,50031,49969,50078,49922,0.156,0.156,0.156
49,50000,50000,50000,50000,34888,15112,15075,34925,49963,50037,49908,50092,0.184,0.184,0.184
