sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,34999,15001,14855,35145,49854,50146,49635,50365,0.73,0.73,0.73
1,50000,50000,50000,50000,35052,14948,15011,34989,50063,49937,50158,49842,0.316,0.316,0.316
2,50000,50000,50000,50000,35025,14975,14946,35054,49971,50029,49928,50072,0.144,0.144,0.144
3,50000,50000,50000,50000,34941,15059,14918,35082,49859,50141,49648,50352,0.704,0.704,0.704
4,50000,50000,50000,50000,35004,14996,14902,35098,49906,50094,49765,50235,0.47,0.47,0.47
5,50000,50000,50000,50000,34925,15075,15016,34984,49941,50059,49853,50147,0.294,0.294,0.294
6,50000,50000,50000,50000,34910,15090,15039,34961,49949,50051,49873,50127,0.254,0.254,0.254
7,50000,50000,50000,50000,35005,14995,15095,34905,50100,49900,50250,49750,0.5,0.5,0.5
8,50000,50000,50000,50000,35057,14943,15039,34961,50096,49904,50240,49760,0.48,0.48,0.48
9,50000,50000,50000,50000,35051,14949,15173,34827,50224,49776,50560,49440,1.12,1.12,1.12
