sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,35042,14958,15092,34908,50134,49866,50335,49665,0.67,0.67,0.67
1,50000,50000,50000,50000,35065,14935,15128,34872,50193,49807,50483,49517,0.966,0.966,0.966
2,50000,50000,50000,50000,35132,14868,14824,35176,49956,50044,49890,50110,0.22,0.22,0.22
3,50000,50000,50000,50000,35098,14902,15007,34993,50105,49895,50263,49737,0.526,0.526,0.526
4,50000,50000,50000,50000,34868,15132,15108,34892,49976,50024,49940,50060,0.12,0.12,0.12
5,50000,50000,50000,50000,35072,14928,15104,34896,50176,49824,50440,49560,0.88,0.88,0.88
6,50000,50000,50000,50000,35055,14945,15015,34985,50070,49930,50175,49825,0.35,0.35,0.35
7,50000,50000,50000,50000,35002,14998,14817,35183,49819,50181,49548,50452,0.904,0.904,0.904
8,50000,50000,50000,50000,34841,15159,14983,35017,49824,50176,49560,50440,0.88,0.88,0.88
9,50000,50000,50000,50000,34922,15078,15002,34998,49924,50076,49810,50190,0.38,0.38,0.38
