sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,50000,50000,50000,50000,35110,14890,14993,35007,50103,49897,50258,49742,0.516,0.516,0.516
1,50000,50000,50000,50000,35166,14834,15001,34999,50167,49833,50418,49582,0.836,0.836,0.836
2,50000,50000,50000,50000,35029,14971,15112,34888,50141,49859,50353,49647,0.706,0.706,0.706
3,50000,50000,50000,50000,35079,14921,15006,34994,50085,49915,50213,49787,0.426,0.426,0.426
4,50000,50000,50000,50000,35047,14953,14943,35057,49990,50010,49975,50025,0.05,0.05,0.05
5,50000,50000,50000,50000,34935,15065,14754,35246,49689,50311,49223,50777,1.554,1.554,1.554
6,50000,50000,50000,50000,34830,15170,15017,34983,49847,50153,49618,50382,0.764,0.764,0.764
7,50000,50000,50000,50000,35200,14800,15005,34995,50205,49795,50513,49487,1.026,1.026,1.026
8,50000,50000,50000,50000,35066,14934,15031,34969,50097,49903,50243,49757,0.486,0.486,0.486
9,50000,50000,50000,50000,34963,15037,15104,34896,50067,49933,50168,49832,0.336,0.336,0.336
10,50000,50000,50000,50000,35014,14986,14865,35135,49879,50121,49698,50302,0.604,0.604,0.604
11,50000,50000,50000,50000,34874,15126,14920,35080,49794,50206,49485,50515,1.03,1.03,1.03
12,50000,50000,50000,50000,34977,15023,14915,35085,49892,50108,49730,50270,0.54,0.54,0.54
13,50000,50000,50000,50000,35049,14951,15021,34979,50070,49930,50175,49825,0.35,0.35,0.35
14,50000,50000,50000,50000,35050,14950,15124,34876,50174,49826,50435,49565,0.87,0.87,0.87
15,50000,50000,50000,50000,34866,15134,14946,35054,49812,50188,49530,50470,0.94,0.94,0.94
16,50000,50000,50000,50000,34877,15123,15164,34836,50041,49959,50103,49897,0.206,0.206,0.206
17,50000,50000,50000,50000,34977,15023,14966,35034,49943,50057,49858,50142,0.284,0.284,0.284
18,50000,50000,50000,50000,34996,15004,14997,35003,49993,50007,49983,50017,0.034,0.034,0.034
