sim_index,c1_actual,c2_actual,i1_expected,i2_expected,c1_to_i1,c1_to_i2,c2_to_i1,c2_to_i2,i1_counted,i2_counted,c1_computed,c2_computed,c1_percent_error,c2_percent_error,max_percent_error
0,5000,5000,5000,5000,3501,1499,1527,3473,5028,4972,5070,4930,1.4,1.4,1.4
1,5000,5000,5000,5000,3486,1514,1477,3523,4963,5037,4908,5092,1.84,1.84,1.84
2,5000,5000,5000,5000,3498,1502,1532,3468,5030,4970,5075,4925,1.5,1.5,1.5
3,5000,5000,5000,5000,3468,1532,1467,3533,4935,5065,4838,5162,3.24,3.24,3.24
4,5000,5000,5000,5000,3495,1505,1492,3508,4987,5013,4968,5032,0.64,0.64,0.64
5,5000,5000,5000,5000,3502,1498,1479,3521,4981,5019,4953,5047,0.94,0.94,0.94
6,5000,5000,5000,5000,3505,1495,1531,3469,5036,4964,5090,4910,1.8,1.8,1.8
7,5000,5000,5000,5000,3526,1474,1492,3508,5018,4982,5045,4955,0.9,0.9,0.9
8,5000,5000,5000,5000,3486,1514,1463,3537,4949,5051,4873,5127,2.54,2.54,2.54
9,5000,5000,5000,5000,3532,1468,1461,3539,4993,5007,4983,5017,0.34,0.34,0.34
10,5000,5000,5000,5000,3564,1436,1475,3525,5039,4961,5098,4902,1.96,1.96,1.96
11,5000,5000,5000,5000,3433,1567,1471,3529,4904,5096,4760,5240,4.8,4.8,4.8
12,5000,5000,5000,5000,3469,1531,1504,3496,4973,5027,4933,5067,1.34,1.34,1.34
13,5000,5000,5000,5000,3469,1531,1530,3470,4999,5001,4998,5002,0.04,0.04,0.04
14,5000,5000,5000,5000,3515,1485,1504,3496,5019,4981,5048,4952,0.96,0.96,0.96
15,5000,5000,5000,5000,3512,1488,1501,3499,5013,4987,5033,4967,0.66,0.66,0.66
16,5000,5000,5000,5000,3452,1548,1487,3513,4939,5061,4848,5152,3.04,3.04,3.04
17,5000,5000,5000,5000,3573,1427,1520,3480,5093,4907,5233,4767,4.66,4.66,4.66
18,5000,5000,5000,5000,3475,1525,1445,3555,4920,5080,4800,5200,4.0,4.0,4.0
19,5000,5000,5000,5000,3450,1550,1523,3477,4973,5027,4933,5067,1.34,1.34,1.34
20,5000,5000,5000,5000,3481,1519,1486,3514,4967,5033,4918,5082,1.64,1.64,1.64
21,5000,5000,5000,5000,3469,1531,1536,3464,5005,4995,5013,4987,0.26,0.26,0.26
22,5000,5000,5000,5000,3510,1490,1513,3487,5023,4977,5058,4942,1.16,1.16,1.16
23,5000,5000,5000,5000,3501,1499,1486,3514,4987,5013,4968,5032,0.64,0.64,0.64
24,5000,5000,5000,5000,3507,1493,1512,3488,5019,4981,5048,4952,0.96,0.96,0.96
25,5000,5000,5000,5000,3480,1520,1533,3467,5013,4987,5033,4967,0.66,0.66,0.66
26,5000,5000,5000,5000,3508,1492,1476,3524,4984,5016,4960,5040,0.8,0.8,0.8
27,5000,5000,5000,5000,3413,1587,1518,3482,4931,5069,4828,5172,3.44,3.44,3.44
28,5000,5000,5000,5000,3474,1526,1510,3490,4984,5016,4960,5040,0.8,0.8,0.8
29,5000,5000,5000,5000,3462,1538,1494,3506,4956,5044,4890,5110,2.2,2.2,2.2
30,5000,5000,5000,5000,3538,1462,1500,3500,5038,4962,5095,4905,1.9,1.9,1.9
31,5000,5000,5000,5000,3473,1527,1446,3554,4919,5081,4798,5202,4.04,4.04,4.04
32,5000,5000,5000,5000,3518,1482,1541,3459,5059,4941,5148,4852,2.96,2.96,2.96
33,5000,5000,5000,5000,3428,1572,1450,3550,4878,5122,4695,5305,6.1,6.1,6.1
34,5000,5000,5000,5000,3482,1518,1504,3496,4986,5014,4965,5035,0.7,0.7,0.7
35,5000,5000,5000,5000,3463,1537,1457,3543,4920,5080,4800,5200,4.0,4.0,4.0
36,5000,5000,5000,5000,3442,1558,1513,3487,4955,5045,4888,5112,2.24,2.24,2.24
